,General|All|rtmed,General|All|annot_ms1,General|All|mzmed,Stats|Mean|IGF,Stats|Mean|Rapamycin,Stats|Mean|Control,ttest|IGF_vs_Rapamycin|mean.diff,ttest|Control_vs_Rapamycin|mean.diff,ttest|IGF_vs_Control|mean.diff
521,347.857056216023,MMV023183;Lucidone A;Dehydrocholic acid,437.213006127756,4.22595534096844,4.22595534096844,5.0481302938107,,0.822174952842254,-0.822174952842254
278,353.214596793947,Moxonidine;Mukonidine;Koeniginequinone A,262.048118270478,4.55191627053489,3.88152458416325,4.01155217702273,0.670391686371647,0.130027592859483,0.540364093512164
445,355.787919641507,Bufotenine O-glucoside;Nisoldipine;Nisoldipine (Sular),387.152727916412,4.29613259391127,3.76786787815002,4.10769343911642,0.528264715761253,0.339825560966407,0.188439154794846
469,356.231248184332,Cyclothiazide;omega-COOH-tetranor-LTE3;MMV090930,410.001356131575,4.43617705948076,3.85185719437961,4.01988918687851,0.584319865101154,0.1680319924989,0.416287872602253
621,356.271393052889,Carbovir Triphosphate;Butoconazole nitrate,507.977948590202,4.38023817148698,3.81208906640342,4.20567002318304,0.568149105083562,0.393580956779624,0.174568148303938
671,356.825145720554,,536.879361260597,4.41691734863906,3.79907449367861,3.8997658760669,0.617842854960448,0.100691382388281,0.517151472572167
380,356.873001268722,Cepharadione A,326.039817200275,4.42467935095882,3.81424845984358,4.03030890325814,0.610430891115233,0.216060443414551,0.394370447700682
