x,y,PC3,PC4,PC5,PC6,target
-9.142778710901192,-2.3507800629840685,4.4805067661863465,-0.13810143323224508,-1.2267095621600785,2.11476894068216,IGF.1_1_Met_PB_06.12.20
-10.9144603285518,-4.15825347631858,-2.483818785187166,-1.0324348291531273,0.32059741129151886,-0.07067055524003195,IGF.1_2_1_Met_PB_06.12.20
-10.612280969777565,-4.240190421718831,-2.323268262849335,-0.6325286996617674,0.2816106915972092,-1.469320686347074,IGF.1_3_1_Met_PB_06.12.20
11.979679185560391,-3.6579764006837463,-0.4816532954128576,-0.4870719643348306,2.120843242462285,0.9368413753260088,Rapamycin_1_Met_PB_06.12.20
8.843340031152321,-1.6193752050391597,-2.446447619145032,2.3642159634281423,-2.3957872471210107,0.3057381382518625,Rapamycin_2_1_Met_PB_06.12.20
13.864402395601816,-3.394274974390406,1.8509117192971456,-1.9522447850615545,-0.4868417906928657,-0.737842759530332,Rapamycin_3_1_Met_PB_06.12.20
-0.9558843249354847,2.249692182989994,2.1707364303716044,2.3045013808636003,2.6859733304534825,-1.189348566309048,QC1_wdh
-1.9191668994302113,0.2829662510586164,0.35912323488388903,2.5213514109177906,-0.8090286111058976,-0.8626854584853153,QC2
-1.0892207329556518,4.816145969554523,6.012771178796899,-1.1090871560718047,-0.4405329718831774,-0.4164487973771429,V_Control_1_Met
0.9059192438906677,6.887754343552281,-3.5348023593202065,-1.704720046734294,-0.9174427016143117,-1.415036573072416,V_Control_2_1_Met
-0.9595488896532935,5.18429179397938,-3.6040590076212906,-0.13387984095990696,0.8673182087728443,2.8040049421013267,V_Control_3_1_Met
