PC1,PC2,target
-0.24291602018464772,-0.05567532947971933,IGF.1_1_Met_PB_06.12.20
-0.3392508781869592,-0.2068202506100876,IGF.1_2_1_Met_PB_06.12.20
-0.28105546559450784,-0.1809310158228871,IGF.1_3_1_Met_PB_06.12.20
0.404900437963483,-0.13911095595751935,Rapamycin_1_Met_PB_06.12.20
0.27906944591104166,-0.08260347368786178,Rapamycin_2_1_Met_PB_06.12.20
0.5481713723191997,-0.13384530725010965,Rapamycin_3_1_Met_PB_06.12.20
-0.022262768898276154,0.024792509353107464,QC1_wdh
-0.022166180181162676,-0.025299325254556772,QC2
0.0034458889117201597,0.22625002725920954,V_Control_1_Met
0.015498886601104458,0.32741743502703186,V_Control_2_1_Met
-0.07840962364477834,0.2240884729910692,V_Control_3_1_Met
