ID,IGF1.1,IGF1.2,IGF1.3,QC1,QC2,Rapamycin.1,Rapamycin.2,Rapamycin.3,VControl1,VControl2,VControl3
FT0001,,5.4256041138395,5.450481691681253,6.6872103280627915,6.702227649469238,6.75537183796837,5.773737047475196,,3.708333216298107,7.609777201938188,7.278512502549672
FT0002,6.694228442570195,6.491145387421784,6.589693329641409,6.698887242090826,6.696691750329459,6.732859754660175,,,6.654330690761768,6.5500467838689955,6.652054157540129
FT0003,5.895316505874667,,5.772267955177333,5.694524552109172,5.638316858775864,5.544925926255892,5.550928487822244,,5.7686634322894905,5.775102960100709,5.6271721737470495
FT0004,6.971040322461025,6.88626293429442,6.948003402903196,6.942045820470793,,,,,6.8816796373838915,6.957646207757251,6.905911430305708
FT0005,4.89102103791471,4.750035932049877,,,,4.964769755334061,4.809930720538345,,5.225663032023611,4.4673231636814625,4.359054785269434
FT0006,5.653376322831114,5.516149829083484,5.531854275728553,5.408671572504005,5.404534674480213,5.3172628162722555,5.325398246365621,,5.583176575269204,5.4412632520902,5.366062529964795
FT0007,4.247038080424087,5.824532801980338,5.770879440946756,3.840195399635986,5.448548962878853,5.247523493391658,4.823571811848053,,5.345046280126758,5.505295449088027,5.326963804111907
FT0008,,4.624137010416093,4.657220509113026,4.90967566247607,4.866361270197563,4.853324155218013,4.699234597955813,4.655591551031128,,4.885168818025134,4.753661374058395
FT0009,4.8378793422849125,2.682249147827034,3.9294348360298006,2.8653332614380167,4.862874402944394,4.969651395729733,,,5.039269420134243,,4.348438195965117
FT0010,5.845167371186353,5.687386298737985,6.467579800829729,5.718802916055963,5.712041363426207,5.717763115627676,,5.163338981383523,5.758776052902474,5.750115762003567,5.6483741220210355
FT0011,4.687882810942645,4.6150666758684435,,4.8396208131188745,4.80901142080346,4.8578875014463785,,4.785612986879649,,4.91675669187514,4.758665649892199
FT0012,4.523349833359615,4.356753880828814,4.50251399277308,4.526325487581711,4.463207685867126,4.6499449120131136,4.602901250134762,4.101534144105396,4.766852025512924,4.489734546696945,4.450692626011451
FT0013,,5.008950235588965,4.38926922110923,4.41431142212428,4.487726396481755,4.462071592943456,4.479073563843118,,,4.4834840300882375,4.412565608149995
FT0014,6.327327421148998,6.166471325728152,6.224731896818848,6.364797048090318,6.3496597345948445,6.395728100763938,,3.15150336477997,6.382082765775083,6.443039172582571,6.276121244348002
FT0015,4.895266828057962,4.8202559744722535,5.047009186705385,5.035733058257095,5.049738068689014,5.17806709792178,5.053539909723856,4.641459145321132,5.092339119628082,5.195290124863248,5.150432231024517
FT0016,5.017019287529965,4.982778579880632,5.075390758233539,4.463191424297471,4.947404887128184,4.921820449712438,4.66485162800919,4.446020593566514,4.692853837541367,4.91690766145837,4.782370192481528
FT0017,3.8999733279617304,3.9874050475858542,3.8471560977261183,4.0710477036693025,4.046503280716117,4.104631345566872,2.994278777613523,,3.153253699777866,,3.447227825295861
FT0018,5.373525805348396,4.2150578697052525,5.356753173192415,5.422500078158787,5.337377913112263,5.432578817576365,5.453832363853742,,,5.465245512592965,4.277177957441538
FT0019,5.750538498617606,5.613037090124639,5.6633683133137565,5.585922324668646,5.549973083930191,5.22984486824484,5.595174597761581,,5.643060179294943,5.5652902765126955,5.501133196457661
FT0020,5.988160785479646,5.891190715359323,5.991134120211886,6.0578423392870775,6.049572369353134,6.087739629249144,6.02968708851505,5.588379097681036,6.085256637949973,6.128047579666166,6.043529301320358
FT0021,,4.886535178668674,4.915177070832042,4.992639555786509,5.009591277209753,5.094716288380666,,,5.045458600989587,,5.016913091954169
FT0022,5.33268796966993,5.271915824626803,5.427455494843137,5.347028383270909,5.419518710945623,,5.259407116540723,,5.364887421266658,,
FT0023,5.8963936833430814,5.770550331293843,4.424270766603164,5.129550229548837,5.764514659164663,5.6926649048136975,5.289964513549913,3.8853893642741326,4.366282357026924,5.795134927943238,5.6525257543033245
FT0024,5.724680689604939,5.5745430089675665,5.711730331491694,5.757961765619615,5.800651282416361,5.772395314136165,5.711406420035598,5.536622835305652,5.770507372429648,5.768537613163958,5.63979726464593
FT0025,5.098725896079393,5.052955994550924,5.048482580294602,4.797445482772777,4.619935813071325,4.806435574803393,3.6723575661896977,,4.7012809939082025,4.0435963946017,4.821098881234356
FT0026,4.542498688532043,4.2916074098454695,4.703695455416583,4.508474618901191,4.571547041271097,4.601162856282027,4.44448238942099,5.155129116660369,4.604052164552617,4.81704650238217,4.846580067049286
FT0027,4.839042726161029,4.673059089556193,4.774468715837641,4.690015551336662,4.703951837637621,4.661588345712278,4.638585542843455,5.16976748354163,4.817983440391102,4.760952024534844,4.663090210562942
FT0028,5.754903324631717,5.649614285242388,5.7348950195354575,5.6276969637201875,5.585664283708216,5.574553028048333,5.466567275846099,4.69356036430738,5.514726510408924,5.532881584497442,5.475386006412252
FT0029,4.523825357334198,4.411120905834441,4.482563231796701,,4.4070233801827,5.335316847937944,5.187041638388848,,4.383139829735388,5.142315922260858,4.183944418482825
FT0030,3.1889452077491645,3.8786569001476496,5.048604811317267,4.0803858563030175,4.962277390706631,4.795202742810269,,,3.2277710954113523,4.574941826765438,4.557704629708985
FT0031,4.657399761948275,4.714643565520478,4.804858310835668,4.796925559614198,4.859467943732912,4.800148268471101,4.707552041076113,,4.774293370157146,4.879661741249755,4.736991513491752
FT0032,,2.650605984671623,4.232764057435303,4.6664521672080825,4.20447938963727,2.7858601194220007,2.684625282849603,4.306933131247648,4.712517017529448,3.5350456431738446,
FT0033,7.1095175086302005,7.003832630543069,5.670840971797627,7.154887021413899,7.146074047464449,7.130498995935847,7.120466340052703,6.914987227108503,7.135635670562245,7.19716773165099,7.062688726196501
FT0034,4.888136239727504,4.800331348726937,4.919331661369717,4.931595488490886,5.001889830541586,5.0995089804111835,4.934046055711947,4.956748940850513,4.980584865417533,5.02573621932204,4.930877487626185
FT0035,6.499535694433418,6.319304245999606,6.437758377064885,6.449835315472941,6.4654824654906555,6.590626311109904,6.537327106707863,5.874650363313265,6.422306161280059,6.46167333668407,6.31976916238163
FT0036,5.207788215500435,6.465570145923771,6.50976778463119,5.1066249598366245,5.080334324066919,5.038348955473801,5.067287180854764,5.741024822105382,5.035622368979681,5.046043168875387,6.318478717224235
FT0037,4.694114352594803,4.580022599206291,4.525158189916569,4.490468844975577,4.4348361256038,2.8298526261821304,4.310065860435504,,4.619743130538167,4.622584534149004,4.491305559076839
FT0038,4.417805666878934,4.265783628200675,,4.564937992470356,3.846013735040885,4.499077902128366,,,4.661824808590536,4.686720944648154,
FT0039,5.805397175392889,5.694322181906181,5.840856146670516,5.602362825491978,5.660924273861881,5.563470544717854,5.596166534457014,,4.069698319795516,5.758404443902922,5.685004444697606
FT0040,4.540822849861277,,4.974964060754947,4.6050190764656564,2.735898451938968,4.693891977602929,3.0369825182965138,4.353384042224956,4.699447125260598,4.720511816956163,5.018437930092368
FT0041,5.844329503028135,5.753831993097887,5.7694263048404695,5.75475632845472,5.744242918108497,5.657162347836085,5.699793882991244,5.4429166868256615,5.861164505697595,5.808012952389792,5.714461590889059
FT0042,5.036337339400961,5.025368697251894,3.3589702339586585,4.420580444669346,3.7282723112199276,3.2482871570702825,5.101570256446239,5.262034069453513,,5.12802745936316,3.227254032149108
FT0043,,,,4.4694529479182155,4.54711954339328,5.568096364312737,4.437110187957352,4.3578918198694705,4.72075281280443,4.582637750432788,3.2867610396589493
FT0044,4.020455158004553,4.331462948857231,2.908485339623461,4.685523890586468,2.8278063216526808,4.04733751236133,4.286526245211986,4.5662249010553975,4.492134420645889,4.1756971273925245,3.99452107600749
FT0045,5.21887349233902,,3.638132827027035,,3.1952063032600133,5.224055838446708,,5.366956880866413,5.2848557254341975,4.3312553078790055,4.15559102909977
FT0046,4.021324342869319,4.126450062339967,4.003821182525422,4.303416660167183,3.6928303012005785,4.044730614327655,4.237753255106938,,4.138427816253196,4.126360266998808,4.274337457621567
FT0047,4.863737615155958,4.739693775801529,4.873863103260566,4.807109969149683,4.718856766041598,4.545529754111319,4.558706526412621,,4.848756048668746,4.8666541003690655,4.715135895358956
FT0048,2.5641423540184745,2.76959554227992,3.6245556006752726,2.7480193640607684,2.7878834868679614,4.137908416787178,2.875765226359601,4.645365806940241,2.916162202411966,4.098706759814275,2.948017971450162
FT0049,5.267420698533194,5.1329525122491155,5.161499605922957,5.014281422462977,4.986816688668699,4.9834773482911805,4.878972004257886,,4.984806559031335,5.038121880687576,4.864473335197637
FT0050,4.348668986565904,,2.8090252022322266,3.3956462233317284,4.563393974444979,4.666523641182187,3.1837750171502,4.186209158098561,3.5731733537607844,4.417302301368732,
FT0051,3.1037933576982657,4.461463886361224,,3.0618054801056513,3.3644943683931086,,,3.639781591921401,3.5190407237764227,,3.437284494349258
FT0052,4.063019077683135,3.719581483113183,4.140501825621162,4.641958499801288,4.221651085901658,3.8822834751230224,4.184839813249905,4.129461519049908,4.287889900768104,4.046995770867884,4.6864769487827616
FT0053,5.000939815101481,5.001537339225327,5.143753406500175,5.117709869677837,5.129896211756848,5.08907437006386,4.840614948829796,4.606412963699421,5.107176644271631,5.083013448537684,5.053177909618603
FT0054,5.55346737392254,5.455731513513451,5.530584710036277,5.385077581502323,5.388328868172321,5.270414882658658,5.30349526939464,,5.446487340398894,5.457835331402721,5.323579254041196
FT0055,4.763366249163455,4.692443837859801,4.88923949082506,4.651790429295631,4.669749089493466,,4.534110174230017,,4.770181861148975,4.994782512710516,4.79712639066269
FT0056,5.528923501489574,5.337746428736738,5.448510649496825,5.596295911663703,5.556531169257006,5.599982760107225,5.420463547757203,5.306935315411451,5.635040121276408,5.534481623704589,5.515577144464981
FT0057,3.8553745630538074,3.3580079874677145,3.887717761279578,3.81416417493784,2.9861844598791727,3.390770701118422,4.369180499402878,,,3.6762594105988944,2.905534539257671
FT0058,4.981835558491639,4.791484520632113,4.626113278233814,4.861869008947881,4.947093848120505,4.632677353598671,4.7704925559621785,4.8320932313200675,5.003609287150384,4.769369205893538,4.653018837732544
FT0059,4.790253101782265,4.773004508596379,2.9748215723723024,4.645946665696522,3.544109467261691,5.803146372690552,4.605991215899589,,4.84891592095001,4.15253749819469,4.156965357897726
FT0060,4.128742252121719,3.979578394302739,,4.072781071454996,4.118299373265077,3.34093876603225,4.070401113515233,,,4.1884582201819045,
FT0061,6.02392735680885,5.81294189055811,5.976935842860927,5.932610123670069,5.8613280717019265,5.642842970878109,5.5319824864244165,4.843868596100055,5.992647766170654,5.97147012416288,5.841967842712963
FT0062,4.889969781800081,4.801994955063221,4.8711562552503525,4.333129693385815,4.2384268565701015,,,,3.931822270953607,4.39382746064302,4.524331063976745
FT0063,3.982500390701918,4.617206329166214,3.730538165433911,4.492764985411615,4.356631379964605,4.435187162518432,3.203152301257753,,4.5040587210871,4.494159735410399,4.336836532512335
FT0064,4.527882551245946,4.418747387720785,4.522084277289713,4.648029332563979,4.615968837365061,4.653859225362331,4.585343297889214,4.5830280061034365,4.707453076228672,4.621267408022674,4.588098422174315
FT0065,4.152234916372091,4.713740424269278,4.186768313916219,3.284023177115301,5.768039064540609,4.158891600790199,3.6965187266403836,3.7730392309655083,4.214655596659211,5.656385198568392,4.06540323862912
FT0066,5.740366100826914,4.3586819058526425,5.633746184837853,5.041056119657162,5.082966971572288,4.719862718222983,4.428678830071593,,5.0413085350083024,5.085658280412811,5.1581070014248285
FT0067,3.540041922193414,3.8529756058165385,4.827516010892512,4.978985639248658,4.994030253339346,4.896285986366731,3.948081491720034,,3.7943942222191342,5.131523369446376,3.4791548535393577
FT0068,4.15713609006883,4.027609861978332,4.044326838713194,3.92884590291646,,4.076083205500343,4.067914814637357,,4.165836828936572,4.466340199981756,3.8337949125716637
FT0069,4.837298635360619,3.7195589022850775,3.927406052366602,4.8451818386902525,4.879887946884501,4.86978993174434,3.9469674481475736,4.05715457221136,3.9714097591098874,4.059784146234993,
FT0070,3.5563528626171554,3.2616273090849894,3.4018112716387474,3.2889615075826697,3.3598268915300187,2.970509802218082,4.588738430471002,,3.5320591845387477,3.4903679340894103,3.4273879893809713
FT0071,3.633629387968535,3.6877674900777095,3.984762350066613,3.959522132498645,3.8330194952521217,3.3056132087070313,,,4.147685890584856,4.113794305167074,4.006064447802287
FT0072,3.841534591601696,4.770918348386261,3.2855227540048872,3.7833228063796542,4.409867294573046,3.809586592590496,3.5087029253397066,,3.999662450353102,4.376308334180533,3.1284347233611722
FT0073,4.450504264836874,4.139688484290916,4.159756580738593,4.340576069934384,4.290128937560686,4.368627907192105,4.223363368255638,4.6137106304656985,4.419414885293032,,4.347548993475702
FT0074,4.259664716138283,4.100079763672767,4.0705160058012675,4.003699302857393,4.3737913628825575,4.332433536253237,4.330280723502586,4.034441982158509,4.380803463997388,4.466237631488618,4.998841442720174
FT0075,5.487322823922391,5.332777780607448,5.406844693387618,5.53944159102015,5.378511018422638,5.415809158654571,5.469286685814707,,3.3877324665929462,5.552528079209302,5.389931997977818
FT0076,5.353769740715219,5.157101346261901,5.3186235645523094,5.3136986016658465,5.3401004219858095,5.23010788112787,5.239840062586023,5.024702036782662,5.377542142912434,5.4087057985649,5.280411109737958
FT0077,6.227158615866459,6.083862836761144,6.169013162311502,6.38872810558972,6.313251187769239,6.333398350769404,6.27727994347925,5.473034861759109,6.478189158865498,6.503855217525983,6.377058460570443
FT0078,4.506230835915946,3.7759511136367445,4.359209553519193,4.347545814179087,4.536523769220372,4.091276982755974,4.263041440561741,,5.505125777397643,3.577389845612659,5.358499329344044
FT0079,5.309905591754641,5.264289564467672,5.427315873871907,5.258494532893013,5.271907198266546,5.227935877155432,5.2617970990559595,,5.023934567838345,5.418373382059338,5.341091115423636
FT0080,4.402426898444546,3.761163810587921,4.179429397519293,,3.951978509036146,3.977710587770043,4.1114497130736005,5.271726265205441,4.332801133373174,4.062806833847436,3.9183282310196352
FT0081,5.543227255777702,4.695826462198804,4.575125548637319,5.601692424002311,5.739616872401388,5.773615489357223,5.867819096828004,,6.203468713103756,6.192420663660727,5.854656742528958
FT0082,4.019818584153654,,3.8966485428734066,4.1717093092866655,4.142942876461599,4.169756982212453,3.76293187318973,,4.08949764213517,,3.526127136083716
FT0083,,4.302492175897229,4.930802520782302,,5.052309745918268,4.509271156501187,5.847878608268163,3.4943642659017824,4.451766663857003,6.174233539198669,4.670179502854039
FT0084,4.9656058333359745,4.841973802700423,4.773097381413026,4.930285335113389,4.8494180588110884,4.928217889315074,4.90562921611094,3.4052642021171273,5.067712044999553,5.109408165573446,4.906201862851616
FT0085,6.620510798626097,6.513802945222026,6.6199876412005025,6.645646767372403,6.625754563441795,6.637014108836168,6.612585594836931,6.328547302037428,6.631189889153723,6.696086025084514,6.5652864083559415
FT0086,4.927457981919056,,4.934414581324305,4.7652535791703,3.5403777927102755,4.807588078692601,4.93005301286529,4.46899374566175,,4.813582067946047,
FT0087,4.556204784164637,4.444311133153835,4.040289683855139,4.8158010510947955,4.755242503128401,4.884692360224049,4.985944402465536,,4.910749831340604,4.89524881791961,4.745400736844192
FT0088,4.7156281969527,4.549740772006912,5.108308973625293,4.4377374543546875,4.995742639772675,4.923124677536284,4.775027611679162,4.875971952453895,4.599161044928449,4.9709301397956756,4.477354394546239
FT0089,5.104851583408445,5.111989695361503,5.152973952453545,4.797409865173666,3.7702627247772376,4.830980662395669,4.660906430235075,,4.74705138555532,4.819917090169898,3.5514882211588676
FT0090,4.915732837468289,3.2841821321812112,3.8276861773642223,3.7733739301831353,,3.902588366190186,,,4.869311702270221,4.803435461721276,4.747886302196915
FT0091,4.707805585882962,4.648931542363104,4.7212716973551005,4.690825737040171,4.679561696030082,2.837401977967869,3.566421523119217,,4.187950073087708,4.769279335979574,4.682950104026902
FT0092,5.1851784846639255,5.101172672150918,4.61910592964998,4.971642972675125,4.383315578037438,4.194680073491572,4.954218524675801,3.9055646468677567,4.972882589165929,4.508108148209014,4.894452105920554
FT0093,3.938722233456819,4.085166834019093,4.318961322574962,4.185464540325085,4.3224024003980634,4.295488326792811,4.107732225523478,3.4633323865692924,3.6789610453743804,4.26406800900511,4.279880014683845
FT0094,3.8437440934607947,3.9641857332528136,3.9882934309819547,,3.943125489941427,3.458353561608928,3.801536239571717,,3.8666858557416646,4.140740425713244,
FT0095,4.683791844296931,,,4.270917773767262,4.195407335608766,4.32623070822526,4.550224685843,4.233997572411935,4.270681866520834,4.041071783218479,3.2160954939328112
FT0096,3.242255515248077,3.386078586535552,3.3425930770293246,3.178300064529408,3.128587859586417,3.794902025187437,3.393805626818312,,3.380814425032363,2.7349423956557555,3.256814833744153
FT0097,5.080094082072986,4.957194388196041,4.992386373234999,5.011512423686731,4.971665372086918,4.801789075449696,4.643497546815743,,5.052846151227094,5.029752274825199,4.995919443905397
FT0098,3.744326633893806,4.216751184977591,4.087907650686375,4.178203615120859,3.0945441181572537,4.090624427597216,3.4999632888966627,,4.316788970091463,2.811445114451491,3.870677514598698
FT0099,4.918209627300104,4.872920707744379,4.7422359341016875,4.639688846618958,4.6049822741365105,4.465375771993358,4.490377164519984,,4.846795756515995,4.639901637521228,4.56367576653962
FT0100,4.045731671764006,3.901719599161158,,4.078655716765251,4.18727379786805,4.0292364564234,3.7970386596708754,4.564536895975387,4.770092278494281,4.412716670937172,3.864259092963444
FT0101,3.993647509314324,4.5992148382738405,4.756997422365301,4.566287089542481,4.554250342651633,4.534007645152557,2.867618340432526,,3.257067941371801,3.224805611455889,4.64229570901515
FT0102,4.911502881018607,4.862477615971457,4.86777480666982,5.573293541865524,5.525184713908402,5.704243710807481,5.676720871600212,4.868462747677116,5.540529105259614,5.650281260511629,5.521722222094639
FT0103,4.269516917487043,3.942826267150413,4.4337615039302865,3.853448408923494,3.768375526511734,3.8880566247535713,,,3.3534904308946536,3.9409695646508016,3.831244712393563
FT0104,4.179907194049316,4.284604478709565,3.995500162172526,4.016417103447317,4.0282579502489675,4.022045044242557,4.027300147551918,,3.8180103206451013,3.972524965247807,4.19135210348993
FT0105,5.179741047098455,5.136175584341698,5.058082129665339,5.069939888089401,,4.507640352496854,4.646328283082232,,5.432177312913233,5.236639017522374,5.180387198854122
FT0106,5.089391758483423,5.268494483009701,5.354160423779849,5.431488076939919,,5.692294421548645,,,4.563987735311964,,4.8470746065552754
FT0107,4.225396855683647,4.004853244107122,,,5.559719162487038,4.349991746082811,5.237508396398184,3.7695623172496298,4.31534165328303,5.218132909591829,4.199904252045443
FT0108,4.920373777169432,4.797655654633719,4.925882723220519,4.733032158270359,4.769095775836565,4.672445228161275,4.719161265620704,3.906026042195256,4.800824504182094,4.809360791065012,4.767633947483245
FT0109,3.5853352441523083,4.022578701883205,4.0078939489418515,3.270937009469002,3.2184373749562125,3.3455113277322406,3.24651971339927,,4.111913398779339,3.3207151999360565,3.170289467701306
FT0110,4.373230174056079,4.251664590214649,4.364819584839596,4.461128810592699,4.498897080674789,5.271108675329662,4.266029644005224,4.739277465895482,4.52747809861714,4.423733760677775,4.439901519192863
