mz,rt,quality,annot_ms1,IGF.Mean,Rapa.Mean,QC.Mean,VC.Mean,ttest.igf_vs_Rapa.meandiff,ttest.igf_vs_VC.meandiff,ttest.rapa_vs_VC.meandiff,ttest.IGF_vs_Rapa.pvalue,ttest.IGF_vs_Rapa.logpvalue,ttest.IGF_vs_VC.pvalue,ttest.IGF_vs_VC.logpvalue,ttest.VC_vs_Rapa.pvalue,ttest.VC_vs_Rapa.logpvalue,ttest.IGF_vs_Rapa.fdr,ttest.IGF_vs_Rapa.logfdr,ttest.Control_vs_Rapa.fdr,ttest.Control_vs_Rapa.logfdr,ttest.IGF_vs_Control.fdr,ttest.IGF_vs_Control.logfdr
59.78993716035502,35.26,0.5496159791946411,Unknown,5.75335173115041,6.304392820509084,6.694105323133433,6.198605794734742,-0.5510410893586739,-0.44525406358433184,0.10578702577434207,0.26658978711954195,0.5741564921411573,0.7593105541453783,0.119580563542018,0.9410943210153528,0.026366847302108615,0.9029448569380815,0.04433877134624689,0.9925048770991349,0.0032673504670761443,0.9449021097267671,0.02461318134001681
66.77823130409803,47.19422222222222,0.6644686460494995,Unknown,6.59103957211012,6.4790496196289284,6.69717583057756,6.61854203186305,0.11198995248119115,-0.027502459752930086,-0.13949241223412123,0.4842506905914264,0.31492975125968925,0.7108024267876927,0.14825109811672973,0.38648561797286174,0.4128666625509293,0.9241583043832847,0.03425362961167624,0.9594490591941168,0.017978078665032645,0.9346692882322517,0.029342027311770155
74.02487142760823,424.48077777777775,0.7741199731826782,Glycine; Acetohydroxamic Acid; Ethyl nitrite; 2-Hydroxyacetamide; o-Acetylhydroxylamine; METHYL CARBAMATE; Methylcarbamic acid; Nitroethane,5.686419583145839,5.495746071402735,5.665807039809937,5.723377676518502,0.1906735117431042,-0.03695809337266276,-0.22763160511576697,0.33465869034210066,0.4753978928519755,0.834139983882048,0.07876106072190861,0.032473158366184474,1.488475469479969,0.9163315901959459,0.03794734103370792,0.9594490591941168,0.017978078665032645,0.9590639928757035,0.018152413866264566
78.95941482580734,459.3277142857143,0.5793499946594238,Chlorocarbonic acid; Metaphosphoric acid,6.934452738785205,6.640330996272712,6.790845994104703,6.914810579621702,0.2941217425124929,0.01964215916350298,-0.2744795833489899,0.0073811716721293155,2.1318746936849178,0.5964965997382508,0.22439202763341073,0.0068549685368931865,2.163994534205618,0.5927228664362193,0.2271483179516168,0.78769311288477,0.1036429517240523,0.9145333796109544,0.03880043855685187
84.46368901046449,69.27185714285714,0.5772956013679504,Unknown,4.715987722350385,4.760472025441398,4.508141528232811,4.683745148130921,-0.044484303091013366,0.03224257421946408,0.07672687731047745,0.8115350768838886,0.09069270397343841,0.9205309953975273,0.03596158369067629,0.8172041937146344,0.08766941332880795,0.9840747405044137,0.006971915637800173,0.9706578929929058,0.012933809602688626,0.9814554873369706,0.008129392490161416
88.04028550088722,411.747,0.8769800066947937,"beta-Alanine; L-Alanine; Sarcosine; D-Alanine; Ethyl carbamate; (alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); 1-Nitropropane; 2-Nitropropane; (2S)-2-Amino-3-hydroxypropanal; Dimethylcarbamic acid; Lactamide; Methyl glycinate; N-Hydroxymethyl-N-methylformamide",5.566477328113375,5.2550456160667,5.405989457859527,5.463232273580818,0.31143171204667475,0.1032450545325565,-0.20818665751411825,0.021935913197408036,1.6588442810976558,0.25944170376299397,0.585960212298246,0.08487720218527554,1.071208944558204,0.7082411614248684,0.14981883660047857,0.9594490591941168,0.017978078665032645,0.8906584929769418,0.050288786475247975
89.2248776054522,330.54190000000006,0.8292558193206787,Unknown,5.280167293349385,5.034644981548663,4.643758515624838,5.392166665581649,0.24552231180072237,-0.11199937223226364,-0.357521684032986,0.6853198372539715,0.16410669692148339,0.8490575355568859,0.07106287921632166,0.08205925167981482,1.0858724477981698,0.955025423751189,0.019985066900146037,0.9594490591941168,0.017978078665032645,0.9590639928757035,0.018152413866264566
97.06548295651656,256.3746666666667,0.6977999806404114,"Cyclohexanone; 2-Methyl-4-pentenal; 4-Methyl-2-pentenal; 2-Hexenal; 3-Hexenal; (Z)-3-Hexenal; 4-Methyl-3-penten-2-one, 9CI; 4-Methyl-4-penten-2-one; (E)-4-Hexenal; 2-Methyl-2-pentenal; 4-Hexen-3-one; (Z)-2-Hexenal; (Z)-4-Hexenal; cis-Cyclohexene Oxide; 1,4-Epoxycyclohexane; 3-Methyl-1-pentyn-3-ol; Allyl ether; Hexenal; Hex-cis-3-en-1-al; 2,4-Hexadien-1-ol; 1-hexen-3-one",4.577288866955982,4.735300533003062,4.887404800704235,4.696960876729864,-0.15801166604707984,-0.1196720097738817,0.03833965627319813,0.14465804088527634,0.8396574208818953,0.4659026150982455,0.33170485186225285,0.8051585559100902,0.09411858773616366,0.9029448569380815,0.04433877134624689,0.9706578929929058,0.012933809602688626,0.8994679735769128,0.04601429551624951
98.20147742432762,27.590375,0.5383622050285339,Unknown,3.815871627612907,4.517407901007395,3.863490166558624,4.559302725593073,-0.7015362733944883,-0.7434310979801664,-0.04189482458567806,0.38185360523188977,0.41810310469494455,0.35955177105273217,0.4442385676907111,0.9050115295347658,0.04334588799763371,0.9163315901959459,0.03794734103370792,0.9859176341340952,0.006159365520468582,0.8971514435284977,0.04713423974610384
101.54757018519953,452.50739999999996,0.8339582085609436,Unknown,5.999395009150347,5.432063276266014,5.714808474108503,5.718820133448443,0.567331732884333,0.28057487570190354,-0.2867568571824295,0.1292783482912467,0.8884742052435274,0.3597234954191023,0.4440311952156204,0.21147012739897217,0.6747509730741502,0.9029448569380815,0.04433877134624689,0.9594490591941168,0.017978078665032645,0.8971514435284977,0.04713423974610384
