accession,name,monoisotopic_mass,formula
HMDB0000001,1-Methylhistidine,169.085126611,C7H11N3O2
HMDB0000002,"1,3-Diaminopropane",74.08439833,C3H10N2
HMDB0000005,2-Ketobutyric acid,102.031694058,C4H6O3
HMDB0000008,2-Hydroxybutyric acid,104.047344118,C4H8O3
HMDB0000010,2-Methoxyestrone,300.172544634,C19H24O3
HMDB0000011,3-Hydroxybutyric acid,104.047344122,C4H8O3
HMDB0000012,Deoxyuridine,228.074621504,C9H12N2O5
HMDB0000014,Deoxycytidine,227.090605919,C9H13N3O4
HMDB0000015,Cortexolone,346.214409448,C21H30O4
HMDB0000016,Deoxycorticosterone,330.219494826,C21H30O3
HMDB0000017,4-Pyridoxic acid,183.053157781,C8H9NO4
HMDB0000019,alpha-Ketoisovaleric acid,116.047344122,C5H8O3
HMDB0000020,p-Hydroxyphenylacetic acid,152.047344122,C8H8O3
HMDB0000021,Iodotyrosine,306.970536611,C9H10INO3
HMDB0000022,3-Methoxytyramine,167.094628665,C9H13NO2
HMDB0000023,(S)-3-Hydroxyisobutyric acid,104.047344122,C4H8O3
HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),891.646933993,C48H93NO11S
HMDB0000026,Ureidopropionic acid,132.053492132,C4H8N2O3
HMDB0000027,Tetrahydrobiopterin,241.117489371,C9H15N5O3
HMDB0000030,Biotin,244.088163078,C10H16N2O3S
HMDB0000031,Androsterone,290.224580204,C19H30O2
HMDB0000032,7-Dehydrocholesterol,384.33921603,C27H44O
HMDB0000033,Carnosine,226.106590334,C9H14N4O3
HMDB0000034,Adenine,135.054495185,C5H5N5
HMDB0000036,Taurocholic acid,515.291673489,C26H45NO7S
HMDB0000037,Aldosterone,360.193674006,C21H28O5
HMDB0000038,Dihydrobiopterin,239.101839307,C9H13N5O3
HMDB0000039,Butyric acid,88.0524295,C4H8O2
HMDB0000042,Acetic acid,60.021129372,C2H4O2
HMDB0000043,Betaine,118.086803633,C5H12NO2
HMDB0000044,Ascorbic acid,176.032087988,C6H8O6
HMDB0000045,Adenosine monophosphate,347.063084339,C10H14N5O7P
HMDB0000048,Melibiose,342.116211546,C12H22O11
HMDB0000050,Adenosine,267.096753929,C10H13N5O4
HMDB0000051,Ammonia,17.026549101,H3N
HMDB0000052,Argininosuccinic acid,290.122634328,C10H18N4O6
HMDB0000053,Androstenedione,286.193280076,C19H26O2
HMDB0000054,Bilirubin,584.263484904,C33H36N4O6
HMDB0000055,Cellobiose,342.116211546,C12H22O11
HMDB0000056,beta-Alanine,89.047678473,C3H7NO2
HMDB0000058,Cyclic AMP,329.052519653,C10H12N5O6P
HMDB0000060,Acetoacetic acid,102.031694058,C4H6O3
HMDB0000061,"Adenosine 3',5'-diphosphate",427.029414749,C10H15N5O10P2
HMDB0000062,L-Carnitine,162.113018383,C7H16NO3
HMDB0000063,Cortisol,362.20932407,C21H30O5
HMDB0000064,Creatine,131.069476547,C4H9N3O2
HMDB0000067,Cholesterol,386.354866094,C27H46O
HMDB0000068,Epinephrine,183.089543287,C9H13NO3
HMDB0000070,Pipecolic acid,129.078978601,C6H11NO2
HMDB0000071,Deoxyinosine,252.085854882,C10H12N4O4
HMDB0000072,cis-Aconitic acid,174.016437924,C6H6O6
HMDB0000073,Dopamine,153.078978601,C8H11NO2
HMDB0000076,Dihydrouracil,114.042927446,C4H6N2O2
HMDB0000077,Dehydroepiandrosterone,288.20893014,C19H28O2
HMDB0000078,Cysteinylglycine,178.041212886,C5H10N2O3S
HMDB0000079,Dihydrothymine,128.058577506,C5H8N2O2
HMDB0000082,Cytidine triphosphate,482.984511771,C9H16N3O14P3
HMDB0000085,Deoxyguanosine,267.096753929,C10H13N5O4
HMDB0000086,Glycerophosphocholine,257.102824366,C8H20NO6P
HMDB0000087,Dimethylamine,45.057849229,C2H7N
HMDB0000089,Cytidine,243.085520541,C9H13N3O5
HMDB0000092,Dimethylglycine,103.063328537,C4H9NO2
HMDB0000094,Citric acid,192.02700261,C6H8O7
HMDB0000095,Cytidine monophosphate,323.051850951,C9H14N3O8P
HMDB0000097,Choline,104.107539075,C5H14NO
HMDB0000098,D-Xylose,150.05282343,C5H10O5
HMDB0000099,L-Cystathionine,222.067427636,C7H14N2O4S
HMDB0000101,Deoxyadenosine,251.101839307,C10H13N5O3
HMDB0000107,Galactitol,182.07903818,C6H14O6
HMDB0000108,Ethanol,46.041864814,C2H6O
HMDB0000112,gamma-Aminobutyric acid,103.063328537,C4H9NO2
HMDB0000114,Glycerylphosphorylethanolamine,215.055873697,C5H14NO6P
HMDB0000115,Glycolic acid,76.016043994,C2H4O3
HMDB0000118,Homovanillic acid,182.057908808,C9H10O4
HMDB0000119,Glyoxylic acid,74.00039393,C2H2O3
HMDB0000121,Folic acid,441.139681375,C19H19N7O6
HMDB0000122,D-Glucose,180.063388116,C6H12O6
HMDB0000123,Glycine,75.032028409,C2H5NO2
HMDB0000124,Fructose 6-phosphate,260.029718526,C6H13O9P
HMDB0000125,Glutathione,307.083805981,C10H17N3O6S
HMDB0000126,Glycerol 3-phosphate,172.013674532,C3H9O6P
HMDB0000127,D-Glucuronic acid,194.042652674,C6H10O7
HMDB0000128,Guanidoacetic acid,117.053826483,C3H7N3O2
HMDB0000130,Homogentisic acid,168.042258744,C8H8O4
HMDB0000131,Glycerol,92.047344122,C3H8O3
HMDB0000132,Guanine,151.049409807,C5H5N5O
HMDB0000133,Guanosine,283.091668551,C10H13N5O5
HMDB0000134,Fumaric acid,116.010958616,C4H4O4
HMDB0000138,Glycocholic acid,465.309038113,C26H43NO6
HMDB0000139,Glyceric acid,106.02660868,C3H6O4
HMDB0000142,Formic acid,46.005479308,CH2O2
HMDB0000143,D-Galactose,180.063388116,C6H12O6
HMDB0000145,Estrone,270.161979948,C18H22O2
HMDB0000148,L-Glutamic acid,147.053157781,C5H9NO4
HMDB0000149,Ethanolamine,61.052763851,C2H7NO
HMDB0000150,Gluconolactone,178.047738052,C6H10O6
HMDB0000151,Estradiol,272.177630012,C18H24O2
HMDB0000152,Gentisic acid,154.026608673,C7H6O4
HMDB0000153,Estriol,288.172544634,C18H24O3
HMDB0000156,Malic acid,134.021523302,C4H6O5
HMDB0000157,Hypoxanthine,136.03851077,C5H4N4O
HMDB0000158,L-Tyrosine,181.073893223,C9H11NO3
HMDB0000159,L-Phenylalanine,165.078978601,C9H11NO2
HMDB0000161,L-Alanine,89.047678473,C3H7NO2
HMDB0000162,L-Proline,115.063328537,C5H9NO2
HMDB0000163,D-Maltose,342.116211546,C12H22O11
HMDB0000164,Methylamine,31.042199165,CH5N
HMDB0000167,L-Threonine,119.058243159,C4H9NO3
HMDB0000168,L-Asparagine,132.053492132,C4H8N2O3
HMDB0000169,D-Mannose,180.063388116,C6H12O6
HMDB0000172,L-Isoleucine,131.094628665,C6H13NO2
HMDB0000174,L-Fucose,164.068473494,C6H12O5
HMDB0000175,Inosinic acid,348.047099924,C10H13N4O8P
HMDB0000176,Maleic acid,116.010958616,C4H4O4
HMDB0000177,L-Histidine,155.069476547,C6H9N3O2
HMDB0000181,L-Dopa,197.068807845,C9H11NO4
HMDB0000182,L-Lysine,146.105527702,C6H14N2O2
HMDB0000186,Alpha-Lactose,342.116211546,C12H22O11
HMDB0000187,L-Serine,105.042593095,C3H7NO3
HMDB0000189,Inosine triphosphate,507.979760744,C10H15N4O14P3
HMDB0000190,L-Lactic acid,90.031694058,C3H6O3
HMDB0000191,L-Aspartic acid,133.037507717,C4H7NO4
HMDB0000192,L-Cystine,240.023848262,C6H12N2O4S2
HMDB0000193,Isocitric acid,192.02700261,C6H8O7
HMDB0000194,Anserine,240.122240398,C10H16N4O3
HMDB0000195,Inosine,268.080769514,C10H12N4O5
HMDB0000197,Indoleacetic acid,175.063328537,C10H9NO2
HMDB0000201,L-Acetylcarnitine,204.123583069,C9H18NO4
HMDB0000202,Methylmalonic acid,118.02660868,C4H6O4
HMDB0000205,Phenylpyruvic acid,164.047344122,C9H8O3
HMDB0000206,N6-Acetyl-L-lysine,188.116092388,C8H16N2O3
HMDB0000207,Oleic acid,282.255880332,C18H34O2
HMDB0000208,Oxoglutaric acid,146.021523302,C5H6O5
HMDB0000209,Phenylacetic acid,136.0524295,C8H8O2
HMDB0000210,Pantothenic acid,219.110672659,C9H17NO5
HMDB0000211,myo-Inositol,180.063388116,C6H12O6
HMDB0000212,N-Acetylgalactosamine,221.089937217,C8H15NO6
HMDB0000213,myo-Inositol 1-phosphate,260.029718997,C6H13O9P
HMDB0000214,Ornithine,132.089877638,C5H12N2O2
HMDB0000215,N-Acetyl-D-glucosamine,221.089937217,C8H15NO6
HMDB0000216,Norepinephrine,169.073893223,C8H11NO3
HMDB0000217,NADP,743.075452041,C21H28N7O17P3
HMDB0000218,Orotidylic acid,368.02569578,C10H13N2O11P
HMDB0000220,Palmitic acid,256.240230268,C16H32O2
HMDB0000221,NADPH,745.091102105,C21H30N7O17P3
HMDB0000222,Palmitoylcarnitine,400.342135385,C23H46NO4
HMDB0000223,Oxalacetic acid,132.005873238,C4H4O5
HMDB0000224,O-Phosphoethanolamine,141.019094261,C2H8NO4P
HMDB0000225,Oxoadipic acid,160.037173366,C6H8O5
HMDB0000226,Orotic acid,156.017106626,C5H4N2O4
HMDB0000227,Mevalonic acid,148.073558872,C6H12O4
HMDB0000228,Phenol,94.041864814,C6H6O
HMDB0000229,Nicotinamide ribotide,335.06442701,C11H16N2O8P
HMDB0000230,N-Acetylneuraminic acid,309.105981211,C11H19NO9
HMDB0000232,Quinolinic acid,167.021857653,C7H5NO4
HMDB0000234,Testosterone,288.20893014,C19H28O2
HMDB0000235,Thiamine,265.112306876,C12H17N4OS
HMDB0000237,Propionic acid,74.036779436,C3H6O2
HMDB0000238,Sepiapterin,237.086189243,C9H11N5O3
HMDB0000239,Pyridoxine,169.073893223,C8H11NO3
HMDB0000240,Sulfite,81.97246462,H2O3S
HMDB0000241,Protoporphyrin IX,562.258005596,C34H34N4O4
HMDB0000243,Pyruvic acid,88.016043994,C3H4O3
HMDB0000244,Riboflavin,376.138284392,C17H20N4O6
HMDB0000245,Porphobilinogen,226.095356946,C10H14N2O4
HMDB0000246,Tetrahydrofuran,72.057514878,C4H8O
HMDB0000247,Sorbitol,182.07903818,C6H14O6
HMDB0000248,Thyroxine,776.686681525,C15H11I4NO4
HMDB0000250,Pyrophosphate,177.943225506,H4O7P2
HMDB0000251,Taurine,125.014663785,C2H7NO3S
HMDB0000252,Sphingosine,299.282429433,C18H37NO2
HMDB0000253,Pregnenolone,316.240230268,C21H32O2
HMDB0000254,Succinic acid,118.02660868,C4H6O4
HMDB0000256,Squalene,410.39125161,C30H50
HMDB0000257,Thiosulfate,113.94453531,H2O3S2
HMDB0000258,Sucrose,342.116211546,C12H22O11
HMDB0000259,Serotonin,176.094963016,C10H12N2O
HMDB0000262,Thymine,126.042927446,C5H6N2O2
HMDB0000263,Phosphoenolpyruvic acid,167.982374404,C3H5O6P
HMDB0000265,Liothyronine,650.790038137,C15H12I3NO4
HMDB0000267,Pyroglutamic acid,129.042593095,C5H7NO3
HMDB0000268,Tetrahydrocorticosterone,350.245709576,C21H34O4
HMDB0000269,Sphinganine,301.298079497,C18H39NO2
HMDB0000271,Sarcosine,89.047678473,C3H7NO2
HMDB0000272,Phosphoserine,185.008923505,C3H8NO6P
HMDB0000273,Thymidine,242.090271568,C10H14N2O5
HMDB0000277,Sphingosine 1-phosphate,379.248759843,C18H38NO5P
HMDB0000279,Saccharopine,276.132136382,C11H20N2O6
HMDB0000280,Phosphoribosyl pyrophosphate,389.95181466,C5H13O14P3
HMDB0000283,D-Ribose,150.05282343,C5H10O5
HMDB0000285,Uridine triphosphate,483.968527356,C9H15N2O15P3
HMDB0000286,Uridine diphosphate glucose,566.055020376,C15H24N2O17P2
HMDB0000288,Uridine 5'-monophosphate,324.035866536,C9H13N2O9P
HMDB0000289,Uric acid,168.028340014,C5H4N4O3
HMDB0000290,Uridine diphosphate-N-acetylglucosamine,607.081569477,C17H27N3O17P2
HMDB0000291,Vanillylmandelic acid,198.05282343,C9H10O5
HMDB0000292,Xanthine,152.033425392,C5H4N4O2
HMDB0000293,Xanthosine 5-triphosphate,523.974675366,C10H15N4O15P3
HMDB0000294,Urea,60.03236276,CH4N2O
HMDB0000295,Uridine 5'-diphosphate,404.002196946,C9H14N2O12P2
HMDB0000296,Uridine,244.069536126,C9H12N2O6
HMDB0000299,Xanthosine,284.075684136,C10H12N4O6
HMDB0000300,Uracil,112.027277382,C4H4N2O2
HMDB0000301,Urocanic acid,138.042927446,C6H6N2O2
HMDB0000302,Uridine diphosphategalactose,566.055020376,C15H24N2O17P2
HMDB0000303,Tryptamine,160.100048394,C10H12N2
HMDB0000304,Uridine diphosphate-N-acetylgalactosamine,607.081569477,C17H27N3O17P2
HMDB0000305,Vitamin A,286.229665582,C20H30O
HMDB0000306,Tyramine,137.084063979,C8H11NO
HMDB0000307,1beta-Hydroxycholic acid,424.282489012,C24H40O6
HMDB0000308,3b-Hydroxy-5-cholenoic acid,374.282095082,C24H38O3
HMDB0000309,"3alpha,16beta-Dihydroxyandrostenone",304.203844762,C19H28O3
HMDB0000310,Methylacetoacetic acid,116.047344122,C5H8O3
HMDB0000311,"3b,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid",424.282489012,C24H40O6
HMDB0000312,"3alpha,7alpha,12beta-Trihydroxy-5beta-cholanoic acid",408.28757439,C24H40O5
HMDB0000313,16b-Hydroxyestrone,286.15689457,C18H22O3
HMDB0000314,3b-Allotetrahydrocortisol,366.240624198,C21H34O5
HMDB0000315,16-a-Hydroxypregnenolone,332.23514489,C21H32O3
HMDB0000316,"2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid",424.282489012,C24H40O6
HMDB0000317,2-Hydroxy-3-methylpentanoic acid,132.07864425,C6H12O3
HMDB0000318,"3,4-Dihydroxyphenylglycol",170.057908808,C8H10O4
HMDB0000319,18-Hydroxycorticosterone,362.20932407,C21H30O5
HMDB0000320,"3a,4b,7a-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000321,2-Hydroxyadipic acid,162.05282343,C6H10O5
HMDB0000322,16-Oxoandrostenediol,304.203844762,C19H28O3
HMDB0000323,3-Amino-2-piperidone,114.079312952,C5H10N2O
HMDB0000324,"3alpha,16alpha-Dihydroxyandrostenone",304.203844762,C19H28O3
HMDB0000325,3-Hydroxysuberic acid,190.084123558,C8H14O5
HMDB0000326,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000328,12-Ketodeoxycholic acid,390.277009704,C24H38O4
HMDB0000329,2-Phenylbutyric acid,164.083729628,C10H12O2
HMDB0000330,"3a,4b,12a-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000331,"3a,7b,12a-Trihydroxyoxocholanyl-Glycine",465.309038113,C26H43NO6
HMDB0000332,18-Oxocortisol,376.188588628,C21H28O6
HMDB0000333,Isohomovanillic acid,182.057908808,C9H10O4
HMDB0000335,16a-Hydroxyestrone,286.15689457,C18H22O3
HMDB0000336,(R)-3-Hydroxyisobutyric acid,104.047344122,C4H8O3
HMDB0000337,"(S)-3,4-Dihydroxybutyric acid",120.042258744,C4H8O4
HMDB0000338,2-Hydroxyestradiol,288.172544634,C18H24O3
HMDB0000339,2-Methylbutyrylglycine,159.089543287,C7H13NO3
HMDB0000340,"3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid",424.282489012,C24H40O6
HMDB0000341,2-Octenedioic acid,172.073558872,C8H12O4
HMDB0000343,2-Hydroxyestrone,286.15689457,C18H22O3
HMDB0000344,2-Methoxyestradiol-3-methylether,316.203844762,C20H28O3
HMDB0000345,3-Hydroxyadipic acid,162.05282343,C6H10O5
HMDB0000346,3-Deoxyarabinohexonic acid,180.063388116,C6H12O6
HMDB0000347,16b-Hydroxyestradiol,288.172544634,C18H24O3
HMDB0000348,"3b,12a-Dihydroxy-5a-cholanoic acid",392.292659768,C24H40O4
HMDB0000349,"Erythrono-1,4-lactone",118.02660868,C4H6O4
HMDB0000350,3-Hydroxysebacic acid,218.11542368,C10H18O5
HMDB0000351,"(2S,3R)-3-Hydroxy-2-methylbutanoic acid",118.062994186,C5H10O3
HMDB0000352,16a-Hydroxydehydroisoandrosterone,304.203844762,C19H28O3
HMDB0000353,"3b,15b,17a-Trihydroxy-pregnenone",348.230059512,C21H32O4
HMDB0000354,2-Methyl-3-hydroxybutyric acid,118.062994186,C5H10O3
HMDB0000355,3-Hydroxymethylglutaric acid,162.05282343,C6H10O5
HMDB0000356,17-Epiestriol,288.172544634,C18H24O3
HMDB0000359,"3alpha,7alpha-Dihydroxycoprostanic acid",434.339609961,C27H46O4
HMDB0000360,"2,4-Dihydroxybutanoic acid",120.042258744,C4H8O4
HMDB0000361,"3b,7a-Dihydroxy-5b-cholanoic acid",392.292659768,C24H40O4
HMDB0000362,2-Phosphoglyceric acid,185.99293909,C3H7O7P
HMDB0000363,17a-Hydroxypregnenolone,332.23514489,C21H32O3
HMDB0000364,"3a,6a,7b-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000365,Epiandrosterone,290.224580204,C19H30O2
HMDB0000366,2-Deoxyribonic acid,150.05282343,C5H10O5
HMDB0000367,"3a,6b,7b,12a-Tetrahydroxy-5b-cholanoic acid",424.282489012,C24H40O6
HMDB0000368,2(R)-Hydroxyadipic acid,162.05282343,C6H10O5
HMDB0000369,"3b,17b-Dihydroxyetiocholane",292.240230268,C19H32O2
HMDB0000370,2-Amino-3-phosphonopropionic acid,169.014008883,C3H8NO5P
HMDB0000371,"1,3,12-Trihydroxycholan-24-oic acid",408.28757439,C24H40O5
HMDB0000372,16-Oxoestrone,284.141244506,C18H20O3
HMDB0000374,17-Hydroxyprogesterone,330.219494826,C21H30O3
HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,166.062994186,C9H10O3
HMDB0000376,"3b,7a,12a-Trihydroxy-5a-Cholanoic acid",408.28757439,C24H40O5
HMDB0000377,"3a,6b,7b,12b-Tetrahydroxy-5b-cholanoic acid",424.282489012,C24H40O6
HMDB0000378,2-Methylbutyroylcarnitine,245.162708229,C12H23NO4
HMDB0000379,2-Methylcitric acid,206.042652674,C7H10O7
HMDB0000380,2-Hydroxyestradiol-3-methyl ether,302.188194698,C19H26O3
HMDB0000381,Allolithocholic acid,376.297745146,C24H40O3
HMDB0000383,"3a,17a-Dihydroxy-5b-androstane",292.240230268,C19H32O2
HMDB0000384,"3a,7a-Dihydroxycholanoic acid",392.292659768,C24H40O4
HMDB0000385,12a-Hydroxy-3-oxocholadienic acid,386.245709576,C24H34O4
HMDB0000387,3-Hydroxydodecanoic acid,216.172544633,C12H24O3
HMDB0000389,2'-Deoxysepiapterin,221.091274621,C9H11N5O2
HMDB0000390,"3a,7b,12b-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000391,7-Ketodeoxycholic acid,406.271924326,C24H38O5
HMDB0000392,2-Octenoic acid,142.099379692,C8H14O2
HMDB0000393,3-Hexenedioic acid,144.042258744,C6H8O4
HMDB0000394,3-Hydroxytetradecanedioic acid,274.178023942,C14H26O5
HMDB0000395,"3b,7b,12a-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000396,2-Ethylhydracrylic acid,118.062994186,C5H10O3
HMDB0000397,2-Pyrocatechuic acid,154.026608673,C7H6O4
HMDB0000398,3-Oxoadipic acid,160.037173366,C6H8O5
HMDB0000399,"3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid",424.282489012,C24H40O6
HMDB0000400,"3,7-Dihydroxy-12-oxocholanoic acid",406.271924326,C24H38O5
HMDB0000401,"2,8-Dihydroxyadenine",167.044324429,C5H5N5O2
HMDB0000402,2-Isopropylmalic acid,176.068473494,C7H12O5
HMDB0000403,2-Hydroxyadenine,151.049409807,C5H5N5O
HMDB0000404,"2b,3a,7a-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000405,2-Methoxyestradiol,302.188194698,C19H26O3
HMDB0000406,16-Ketoestradiol,286.15689457,C18H22O3
HMDB0000407,2-Hydroxy-3-methylbutyric acid,118.062994186,C5H10O3
HMDB0000408,2-Methyl-3-ketovaleric acid,130.062994186,C6H10O3
HMDB0000409,(5R)-5-Hydroxyhexanoic acid,132.07864425,C6H12O3
HMDB0000410,"3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid",118.062994186,C5H10O3
HMDB0000411,"3a,12b-Dihydroxy-5b-cholanoic acid",392.292659768,C24H40O4
HMDB0000412,"3beta,17alpha-Dihydroxy-5alpha-androstane",292.240230268,C19H32O2
HMDB0000413,3-Hydroxydodecanedioic acid,246.146723814,C12H22O5
HMDB0000414,"1b,3a,7a-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000416,17-Hydroxypregnenolone sulfate,412.191959446,C21H32O6S
HMDB0000417,"3D,7D,11D-Phytanic acid",312.302830524,C20H40O2
HMDB0000418,18-Hydroxycortisol,378.204238692,C21H30O6
HMDB0000419,"3b,7a,12a-Trihydroxy-5b-cholanoic acid",408.28757439,C24H40O5
HMDB0000421,"2,3-Dihydroxyvaleric acid",134.057908808,C5H10O4
HMDB0000422,2-Methylglutaric acid,146.057908808,C6H10O4
HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid",182.057908808,C9H10O4
HMDB0000424,2-Hydroxydecanedioic acid,218.115423686,C10H18O5
HMDB0000425,3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid,268.07943211,C9H16O9
HMDB0000426,Citramalic acid,148.037173366,C5H8O5
HMDB0000427,"3b,7b,12a-Trihydroxy-5a-Cholanoic acid",408.28757439,C24H40O5
HMDB0000428,3-Hydroxyglutaric acid,148.037173366,C5H8O5
HMDB0000429,17alpha-Estradiol,272.177630012,C18H24O2
HMDB0000430,"24,25-Dihydroxyvitamin D",416.329045274,C27H44O3
HMDB0000431,"16,17-Epiestriol",288.172544634,C18H24O3
HMDB0000432,"3a,7b,12a-Trihydroxy-5a-Cholanoic acid",408.28757439,C24H40O5
HMDB0000433,"1,3,7,12-Tetrahydroxycholan-24-oic acid",424.282489012,C24H40O6
HMDB0000434,Homoveratric acid,196.073558872,C10H12O4
HMDB0000437,"3a,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid",424.282489012,C24H40O6
HMDB0000438,"3b,12a-Dihydroxy-5b-cholanoic acid",392.292659768,C24H40O4
HMDB0000439,2-Furoylglycine,169.037507717,C7H7NO4
HMDB0000440,3-Hydroxyphenylacetic acid,152.047344122,C8H8O3
HMDB0000442,(S)-3-Hydroxybutyric acid,104.047344122,C4H8O3
HMDB0000444,3-Furoic acid,112.016043994,C5H4O3
HMDB0000445,Alpha-Tetrasaccharide,691.253492885,C26H45NO20
HMDB0000446,N-alpha-Acetyl-L-lysine,188.116092383,C8H16N2O3
HMDB0000447,"7a,12a-Dihydroxy-3-oxo-4-cholenoic acid",404.256274262,C24H36O5
HMDB0000448,Adipic acid,146.057908808,C6H10O4
HMDB0000449,5a-Tetrahydrocorticosterone,350.245709576,C21H34O4
HMDB0000450,5-Hydroxylysine,162.100442324,C6H14N2O3
HMDB0000451,cis-4-Hydroxycyclohexylacetic acid,158.094294314,C8H14O3
HMDB0000452,L-alpha-Aminobutyric acid,103.063328537,C4H9NO2
HMDB0000453,delta-Hexanolactone,114.068079564,C6H10O2
HMDB0000455,Allocystathionine,222.067427636,C7H14N2O4S
HMDB0000458,"5alpha-Androstane-3alpha,17alpha-diol",292.240230268,C19H32O2
HMDB0000459,3-Methylcrotonylglycine,157.073893223,C7H11NO3
HMDB0000460,7-Hydroxy-3-oxocholanoic acid,390.277009704,C24H38O4
HMDB0000462,Allantoin,158.043990078,C4H6N4O3
HMDB0000464,Calcium,39.962591155,Ca
HMDB0000466,3-Methylindole,131.073499293,C9H9N
HMDB0000467,Nutriacholic acid,390.277009704,C24H38O4
HMDB0000468,Biopterin,237.086189243,C9H11N5O3
HMDB0000469,5-Hydroxymethyluracil,142.037842068,C5H6N2O3
HMDB0000472,5-Hydroxy-L-tryptophan,220.08479226,C11H12N2O3
HMDB0000473,6-Dimethylaminopurine,163.085795313,C7H9N5
HMDB0000474,Butanone,72.057514878,C4H8O
HMDB0000476,"3-Oxo-4,6-choladienoic acid",370.250794954,C24H34O3
HMDB0000477,"7Z,10Z-Hexadecadienoic acid",252.20893014,C16H28O2
HMDB0000478,Allodeoxycholic acid,392.292659768,C24H40O4
HMDB0000479,3-Methylhistidine,169.085126611,C7H11N3O2
HMDB0000481,Allopurinol riboside,268.080769514,C10H12N4O5
HMDB0000482,Caprylic acid,144.115029756,C8H16O2
HMDB0000483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",452.350174646,C27H48O5
HMDB0000484,Vanillic acid,168.042258738,C8H8O4
HMDB0000486,7-Hydroxyoctanoic acid,160.109944378,C8H16O3
HMDB0000488,"(4E,15Z)-Bilirubin",584.263484904,C33H36N4O6
HMDB0000489,Aspartylglycosamine,335.132864663,C12H21N3O8
HMDB0000490,Etiocholanolone,290.224580204,C19H30O2
HMDB0000491,3-Methyl-2-oxovaleric acid,130.062994186,C6H10O3
HMDB0000492,Chloride ion,34.968852707,Cl
HMDB0000493,"5alpha-Androstane-3beta,17beta-diol",292.240230268,C19H32O2
HMDB0000494,Stigmastanol,416.401816294,C29H52O
HMDB0000495,Androstanediol,292.240230268,C19H32O2
HMDB0000496,3-Methoxy-4-hydroxyphenylglycol glucuronide,360.10564686,C15H20O10
HMDB0000497,"5,6-Dihydrouridine",246.08518619,C9H14N2O6
HMDB0000498,4-Deoxyerythronic acid,120.042258744,C4H8O4
HMDB0000499,5-Tetradecenoic acid,226.193280076,C14H26O2
HMDB0000500,4-Hydroxybenzoic acid,138.031694053,C7H6O3
HMDB0000501,7-Ketocholesterol,400.334130652,C27H44O2
HMDB0000502,3-Oxocholic acid,406.271924324,C24H38O5
HMDB0000503,7alpha-Hydroxy-3-oxo-5beta-cholan-24-oic acid,390.277009704,C24H38O4
HMDB0000505,Allocholic acid,408.287574388,C24H40O5
HMDB0000506,alpha-Muricholic acid,408.287574388,C24H40O5
HMDB0000508,Ribitol,152.068473494,C5H12O5
HMDB0000509,Senecioic acid,100.0524295,C5H8O2
HMDB0000510,Aminoadipic acid,161.068807845,C6H11NO4
HMDB0000511,Capric acid,172.146329884,C10H20O2
HMDB0000512,N-Acetyl-L-phenylalanine,207.089543287,C11H13NO3
HMDB0000513,"5b-Cholestane-3a,7a,12a,23R,25-pentol",452.350174646,C27H48O5
HMDB0000514,Allochenodeoxycholic acid,392.292659768,C24H40O4
HMDB0000517,L-Arginine,174.111675712,C6H14N4O2
HMDB0000518,Chenodeoxycholic acid,392.292659768,C24H40O4
HMDB0000520,"5a-Cholestane-3a,7a,12a,25-tetrol",436.355260024,C27H48O4
HMDB0000521,5Z-Tetradecenoic acid,226.193280076,C14H26O2
HMDB0000522,3-Methylglutaconic acid,144.042258744,C6H8O4
HMDB0000523,"5-Androstene-3b,16b,17a-triol",306.219494826,C19H30O3
HMDB0000524,"5beta-Cholestane-3alpha,7alpha,12alpha,25-tetrol",436.355260026,C27H48O4
HMDB0000525,5-Hydroxyhexanoic acid,132.07864425,C6H12O3
HMDB0000526,5alpha-Tetrahydrocortisol,366.240624198,C21H34O5
HMDB0000527,"6a,12a-Dihydroxylithocholic acid",408.28757439,C24H40O5
HMDB0000528,"4,5-Dihydroorotic acid",158.03275669,C5H6N2O4
HMDB0000529,5Z-Dodecenoic acid,198.161979948,C12H22O2
