accession,name,monoisotopic_mass,formula
HMDB0283543,"PS(20:3(8Z,11Z,14Z)-2OH(5,6)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",889.510513889,C48H76NO12P
HMDB0283544,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/5-iso PGF2VI)",877.47412838,C46H72NO13P
HMDB0283545,"PS(5-iso PGF2VI/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",877.47412838,C46H72NO13P
HMDB0283546,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(6E,8Z,11Z,14Z)+=O(5))",869.48429914,C48H72NO11P
HMDB0283547,"PS(20:4(6E,8Z,11Z,14Z)+=O(5)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",869.48429914,C48H72NO11P
HMDB0283548,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,13E)+=O(15))",869.48429914,C48H72NO11P
HMDB0283549,"PS(20:4(5Z,8Z,11Z,13E)+=O(15)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",869.48429914,C48H72NO11P
HMDB0283550,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(10E,12Z)+=O(9))",845.48429914,C46H72NO11P
HMDB0283551,"PS(18:2(10E,12Z)+=O(9)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",845.48429914,C46H72NO11P
HMDB0283552,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,11E)+=O(13))",845.48429914,C46H72NO11P
HMDB0283553,"PS(18:2(9Z,11E)+=O(13)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",845.48429914,C46H72NO11P
HMDB0283554,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(12Z)-2OH(9,10))",865.510513889,C46H76NO12P
HMDB0283555,"PS(18:1(12Z)-2OH(9,10)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",865.510513889,C46H76NO12P
HMDB0283556,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(12Z)-O(9S,10R))",847.499949205,C46H74NO11P
HMDB0283557,"PS(18:1(12Z)-O(9S,10R)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",847.499949205,C46H74NO11P
HMDB0283558,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z)-O(12,13))",847.499949205,C46H74NO11P
HMDB0283559,"PS(18:1(9Z)-O(12,13)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",847.499949205,C46H74NO11P
HMDB0283560,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,16E)-OH(18R))",869.48429914,C48H72NO11P
HMDB0283561,"PS(20:5(5Z,8Z,11Z,14Z,16E)-OH(18R)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",869.48429914,C48H72NO11P
HMDB0283562,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,16E)-OH(18))",869.48429914,C48H72NO11P
HMDB0283563,"PS(20:5(5Z,8Z,11Z,14Z,16E)-OH(18)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",869.48429914,C48H72NO11P
HMDB0283564,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,10E,14Z,17Z)-OH(12))",869.48429914,C48H72NO11P
HMDB0283565,"PS(20:5(5Z,8Z,10E,14Z,17Z)-OH(12)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",869.48429914,C48H72NO11P
HMDB0283566,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(6E,8Z,11Z,14Z,17Z)-OH(5))",869.48429914,C48H72NO11P
HMDB0283567,"PS(20:5(6E,8Z,11Z,14Z,17Z)-OH(5)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",869.48429914,C48H72NO11P
HMDB0283568,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))",911.494863825,C50H74NO12P
HMDB0283569,"PS(22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",911.494863825,C50H74NO12P
HMDB0283570,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))",901.47412838,C48H72NO13P
HMDB0283571,"PS(20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",901.47412838,C48H72NO13P
HMDB0283572,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(6E,8Z,11Z,13E)-2OH(5S,15S))",887.494863825,C48H74NO12P
HMDB0283573,"PS(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",887.494863825,C48H74NO12P
HMDB0283574,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R))",887.494863825,C48H74NO12P
HMDB0283575,"PS(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",887.494863825,C48H74NO12P
HMDB0283576,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))",895.499949205,C50H74NO11P
HMDB0283577,"PS(22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",895.499949205,C50H74NO11P
HMDB0283578,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,8Z,10Z,13Z,16Z,19Z)-OH(7))",895.499949205,C50H74NO11P
HMDB0283579,"PS(22:6(4Z,8Z,10Z,13Z,16Z,19Z)-OH(7)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",895.499949205,C50H74NO11P
HMDB0283580,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,12E,16Z,19Z)-OH(14))",895.499949205,C50H74NO11P
HMDB0283581,"PS(22:6(4Z,7Z,10Z,12E,16Z,19Z)-OH(14)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",895.499949205,C50H74NO11P
HMDB0283582,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13E,15E,19Z)-OH(17))",895.499949205,C50H74NO11P
HMDB0283583,"PS(22:6(4Z,7Z,10Z,13E,15E,19Z)-OH(17)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",895.499949205,C50H74NO11P
HMDB0283584,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,11E,13Z,15E,19Z)-2OH(10S,17))",911.494863825,C50H74NO12P
HMDB0283585,"PS(22:6(4Z,7Z,11E,13Z,15E,19Z)-2OH(10S,17)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",911.494863825,C50H74NO12P
HMDB0283586,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17))",895.499949205,C50H74NO11P
HMDB0283587,"PS(22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",895.499949205,C50H74NO11P
HMDB0283588,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(10,12,15)-OH(9))",845.48429914,C46H72NO11P
HMDB0283589,"PS(18:3(10,12,15)-OH(9)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",845.48429914,C46H72NO11P
HMDB0283590,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9,11,15)-OH(13))",845.48429914,C46H72NO11P
HMDB0283591,"PS(18:3(9,11,15)-OH(13)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",845.48429914,C46H72NO11P
HMDB0283592,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/PGE1)",905.505428509,C48H76NO13P
HMDB0283593,"PS(PGE1/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",905.505428509,C48H76NO13P
HMDB0283594,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/PGD1)",905.505428509,C48H76NO13P
HMDB0283595,"PS(PGD1/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",905.505428509,C48H76NO13P
HMDB0283596,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/PGF1alpha)",907.521078574,C48H78NO13P
HMDB0283597,"PS(PGF1alpha/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",907.521078574,C48H78NO13P
HMDB0283598,"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(6,8,11)-OH(5))",873.515599269,C48H76NO11P
HMDB0283599,"PS(20:3(6,8,11)-OH(5)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",873.515599269,C48H76NO11P
HMDB0283600,"PS(24:0/20:3(5Z,8Z,11Z)-O(14R,15S))",911.62514972,C50H90NO11P
HMDB0283601,"PS(20:3(5Z,8Z,11Z)-O(14R,15S)/24:0)",911.62514972,C50H90NO11P
HMDB0283602,"PS(24:0/20:3(5Z,8Z,14Z)-O(11S,12R))",911.62514972,C50H90NO11P
HMDB0283603,"PS(20:3(5Z,8Z,14Z)-O(11S,12R)/24:0)",911.62514972,C50H90NO11P
HMDB0283604,"PS(24:0/20:3(5Z,11Z,14Z)-O(8,9))",911.62514972,C50H90NO11P
