
ID,IGF.1_1_Met_PB_06.12.20,IGF.1_2_1_Met_PB_06.12.20,IGF.1_3_1_Met_PB_06.12.20,Rapamycin_1_Met_PB_06.12.20,Rapamycin_2_1_Met_PB_06.12.20,Rapamycin_3_1_Met_PB_06.12.20,QC1_wdh,QC2,V_Control_1_Met,V_Control_2_1_Met,V_Control_3_1_Met
ID1,4.3669231378467,,,4.40140614174307,4.46699185581383,4.47472045372934,4.49603365005369,4.43323138021011,4.41913443244059,4.39200329867357,4.31505974844549
ID2,5.86649708077505,5.36207269994882,6.24975066959227,5.48833543801933,5.63834611513325,5.57755858956769,5.98621566680404,6.0135998717598,6.44534832419571,5.56157815993311,6.01535455798948
ID3,7.28221485426315,7.26444897344553,7.51649691355939,7.52611208943628,7.43798413053122,7.38806213220291,7.46682859463179,7.45893989018545,7.45062247930719,7.47929497228403,7.28714616445152
ID4,4.82282414062052,4.74153071381718,4.94414700315865,4.98696865956247,4.89311779830718,4.85591832165785,4.95616258758612,4.96574833615935,4.92427981873666,4.95130294087102,4.89100779853759
ID5,4.98630340640095,4.88468919732603,4.97819672057538,4.99819353372188,4.97719486576439,4.92205131350177,4.98329261646976,4.99828629810341,4.90443539113758,4.98356751539273,4.9772345161355
ID6,4.6053115492481,4.52267820895598,4.57774893046835,4.44382589420492,4.55446041721562,4.51146960437664,4.63068543869171,4.58702958507285,4.59378388845614,4.5932863251947,4.60667285713059
ID7,5.07876453179135,5.00527439278297,5.19858152091575,5.24810454280107,5.14681746710494,5.07038217104802,5.18965109273728,5.16909458062563,5.13878197198767,5.22435391803414,5.18011966669796
ID8,6.7477872513369,6.54853100452704,6.64362595606762,6.71803549393188,6.71892260848348,6.71600614823588,6.76554817790193,6.77283683034404,6.66544283604512,6.46179004286565,6.63226757718535
ID9,4.63101774230139,4.48954774772044,4.57874987272335,4.71766757661569,4.64052899358059,4.68782641709509,4.7377805354004,4.69447813112973,4.63402309772307,4.52372529539285,4.61853402970987
ID10,4.54607362338561,4.467912108712,4.48708982433691,,,,4.45959849113845,4.43951321935769,4.51137477812005,4.53380905136418,4.50340181883496
ID11,4.51208983340879,4.49013539568463,4.62453707253795,4.32969112209748,4.43228624085169,4.44505476857071,4.35213793122281,4.34095427219721,,,
ID12,4.38913882711703,,,,4.36687216101119,4.37203785714718,4.32220269868371,4.26624118733542,4.33759524523114,4.36514403040933,4.28203639717951
ID13,6.03060701692419,5.92411198845276,5.98137341938299,5.55939677721817,5.57709558624475,5.41841983623216,5.89940352595694,5.8751149552751,5.96204834143644,5.96726362409512,5.90419518382238
ID14,6.99175372756646,6.92975477395338,6.99080646919934,7.00084694419662,6.99745879667315,6.93146603476108,6.98827030336048,7.00026846566207,6.88329698774845,6.98820614012222,7.00441109175744
ID15,6.1160604098453,5.99741291536028,6.12840571735896,6.12619029271069,6.09534512768087,6.05062794297072,6.1465581716789,6.12013171447103,6.04262679999699,5.96633614684174,6.09735941431382
ID16,5.40129132787525,5.31249987758631,5.3671768184286,5.56631809299416,5.51282400032039,5.31975213388203,5.46880542838072,5.49255373308113,5.44896535662093,5.48402866968041,5.49517054684598
ID17,6.10680733633148,6.00039130052905,6.11733660431517,6.11303799438508,6.10004036256804,6.05223203190879,6.14878882602095,6.1261729126354,6.03589957335087,5.97973839380006,6.10830015403382
ID18,5.06855562739056,4.98694136677875,5.13328959000725,5.15044865753255,5.20031800322746,5.177060128329,5.18935445025184,5.17715935900947,5.13639672306111,5.16529107683079,5.16789768211328
ID19,4.66304534609315,4.58312654302151,4.66532982161405,4.67694408448246,4.62661523281283,4.58066852076591,4.64367065791849,4.62064364738166,4.55693920894055,4.6558919028346,4.65342177878227
ID20,,4.2347250097983,3.9249796768309,,4.28953219302359,4.61021901827423,4.42146268523322,4.44679049211087,4.67044946331462,4.56985466744238,4.57445464912274
ID21,4.26356189569569,4.13738557363904,4.22116453741931,4.03596871238193,4.10142324686356,,4.27379601267333,4.21220224205333,4.13295851388674,4.25491459379312,4.11148832364739
ID22,5.17880929491006,5.08213209402031,5.10548398298278,5.20613428172454,5.23873250830926,5.22448314760662,5.250036700342,5.22134626030758,5.2441704460284,5.12894826704457,5.20939858597248
ID23,,,,4.33709573252084,,,,,,,
ID24,5.77101313218799,5.64272456358934,5.64638696593534,5.23980645839772,5.24572326484827,5.09239331031038,5.60689557007073,5.59189006661154,5.65288869688142,5.60644783572394,5.55003159868669
ID25,5.95870191373012,5.89071418543368,5.90426421576443,4.89697345791898,5.09972113901161,4.86719994729753,5.59425376067094,5.56395869290351,5.59180021696792,5.55251173951068,5.46956645472625
ID26,4.83134375690625,4.85357794003632,4.94463072637853,4.68147343547596,4.77134490677094,4.74260607836802,4.71942240888563,4.70336492112767,,,
ID27,4.63238321120899,4.5998993788827,4.5446662102897,,4.5274129946558,,4.62863203306065,4.58423427464553,4.61543641162774,,4.57947572756935
ID28,6.4815737495745,6.42611712994609,6.51391176122663,6.52526034980447,6.50515086346279,6.41579936809303,6.50433786680611,6.50137359691889,6.39699173794619,6.63095113220962,6.49313143031844
ID29,4.91035736929113,,,4.9417772731317,,4.96390029713004,5.05061122845748,5.00752166408431,,4.91084922928702,
ID30,4.44725357109471,4.32702104295165,4.2896985510303,4.45894393364862,4.52785709014884,4.48706805098445,4.53358712874627,4.5170107515234,4.48823270199004,4.42995261263185,4.42140164968141
ID31,4.37234497417014,4.24016596195055,4.43241317871633,4.53601578638509,4.54143646412023,4.51360952786992,4.55377668552585,4.48634823327509,4.57087155463316,4.08560678434434,4.43422351800916
ID32,,,,4.31512410327175,4.32619863051864,4.14894437936718,4.50105433293347,4.50548365909739,,,4.41911735272141
ID33,,,,4.39082076674891,4.43610240399857,4.33641538702076,4.4332839514788,4.40665991240612,,,4.35819717815966
ID34,5.875383562005,5.76517517426556,5.79694007305639,5.56056559365055,5.55287636250348,5.40744616924498,5.77011474249067,5.76420642482605,5.75040626801133,5.74365493312271,5.71450156242942
ID35,4.48227243322506,4.40868620168732,4.37597704504467,4.12805835039154,4.21703896241988,,4.39646288772737,,4.36024712312532,4.3521240846396,4.30130041986121
ID36,4.72268525924172,4.65902550529574,4.74453548197971,4.8725767460348,4.91968160796827,4.82409334989276,4.89348719745648,4.86866041008611,4.84260213495189,4.95447597383818,4.92321608798708
ID37,4.69184512408249,4.57913152142209,4.67133521062078,4.49330078247169,4.52650348379256,4.4596800996373,4.65986405781593,4.64581489776751,4.56265191259466,4.62202490564304,4.60376966330938
ID38,,,,4.50644105891789,4.49869586773331,4.6600496027299,4.62244044983474,4.63422825282875,5.17367013417027,,
ID39,,,,4.61704134197199,4.66836142715695,4.68402720707555,4.63850377647795,4.67349670057025,4.69470180955275,4.70080875159189,4.66997716522251
ID40,4.82005203379225,4.4998626619465,4.68071255206887,4.69081238138152,4.66830608639964,4.43674059765767,4.72271785252183,4.74594702640733,4.78219693912511,4.81198383365968,4.75169176866272
ID41,6.37327792530146,6.21219226154842,6.28762708764358,6.44608199686842,6.38753104871435,6.33686760987846,6.42537332193292,6.41864162476687,6.32348399002521,6.23786732121208,6.30560192051553
ID42,4.63651496861143,4.41565183127665,4.55829747439995,4.69897705362686,4.62544295284978,4.60048089588316,4.65233723762064,4.6201415071658,4.59027864144902,4.42972189864645,4.52593436269596
ID43,4.89393418052112,4.69498193854508,4.71683495932078,4.34951911340216,4.44986535702268,4.19420576807396,4.69639026674548,4.715844484194,4.7645792288651,4.78389482993952,4.70433834059383
ID44,4.88656744654016,4.76775442828438,4.80759384044451,4.30096995879109,,,4.7524267888491,4.73795833882249,4.83114732751686,4.88332765325418,4.75624062168377
ID45,5.10466802411416,5.00801926543292,5.16172382478896,5.21094185699163,5.25340655093577,5.19409772697038,5.21722036492756,5.20519448604754,5.18411919896651,5.275190946396,5.26506013515645
ID46,,,,4.3877163148204,4.53834067602648,4.62485786440943,,4.58783387875186,4.59958331212572,,4.61713529793679
ID47,5.16559563073415,5.13140479685052,5.16503812838146,4.87040963044446,4.98382428719666,4.86044208531216,5.09389560885456,5.06887196015472,5.00733050517024,5.01891994334439,4.9632749874705
ID48,4.82385586156487,4.76064974971819,4.8271521798596,4.57838628203543,4.58236217116606,4.4137917977219,4.81660068685309,4.77439513787394,4.85615405460071,4.889944232156,4.85874601939858
ID49,5.80684788864123,5.69040494433782,5.72134737450628,5.35094233209029,5.42634699374922,5.26155714933095,5.63783686262923,5.62196696534619,5.64235263580441,5.61513914119478,5.59158382164369
ID50,4.35544990879751,4.41273488756773,4.53110490584051,,4.31136399268017,4.27992492162404,,,,,
ID51,4.4148986746519,4.34439354067168,4.36782980036485,,,,4.30239722113702,4.28501984382622,4.28424929403623,4.25472954577673,4.22917802797232
ID52,4.94375123468724,,4.96212054726846,5.54137043890436,5.60039802996562,5.3777442482256,,5.37782078391356,5.38131605267119,5.36395713020965,5.59801306790009
ID53,,,,5.33912090989788,,,,,,,
ID54,6.09039441135132,6.01280033444381,6.07693741683417,6.23957235045035,6.20522290520301,6.02058350227959,6.17468423912337,6.16675184189352,6.14173885613071,6.19083383813244,6.18050954848031
ID55,4.45457866664848,4.39893332104921,4.47591485052507,4.62295775786609,4.59740714902883,4.41410630572393,4.56364856084603,4.59157197586952,4.50482831570234,4.6063440233275,4.55636540190307
ID56,4.89963927403616,4.90517251190911,4.95775848870543,5.02235224422456,5.09246746478558,5.03269119275189,5.04799137329437,5.03501303796793,5.0492720055394,5.02853378873319,5.12193803013524
