ID,General|All|ID,General|All|rtmed,General|All|mzmed,General|All|annot_ms1,General|All|annot_ms2,General|Extended|mzmin,General|Extended|mzmax,General|Extended|rtmin,General|Extended|rtmax,General|Extended|npeaks,General|Extended|peakidx,General|Extended|ms2spectrum,General|Extended|purity,PCA|All|PC1 (41.6%),PCA|All|PC2 (18.2%),PCA|All|PC3 (9.3%),PCA|All|PC4 (7%),PCA|All|PC5 (6.1%),PCA|All|PC6 (4.5%),Stats|Mean|IGF,Stats|N value|IGF,Stats|Quantile|IGF,Stats|Mean|Rapamycin,Stats|N value|Rapamycin,Stats|Quantile|Rapamycin,Stats|Mean|Control,Stats|N value|Control,Stats|Quantile|Control,ttest|IGF_vs_Rapamycin|pvalue,ttest|IGF_vs_Rapamycin|log.pvalue,ttest|IGF_vs_Rapamycin|fdr,ttest|IGF_vs_Rapamycin|log.fdr,ttest|IGF_vs_Rapamycin|mean.diff,ttest|IGF_vs_Control|pvalue,ttest|IGF_vs_Control|log.pvalue,ttest|IGF_vs_Control|fdr,ttest|IGF_vs_Control|log.fdr,ttest|IGF_vs_Control|mean.diff,ttest|Control_vs_Rapamycin|pvalue,ttest|Control_vs_Rapamycin|log.pvalue,ttest|Control_vs_Rapamycin|fdr,ttest|Control_vs_Rapamycin|log.fdr,ttest|Control_vs_Rapamycin|mean.diff
ID1,FT0001,253.544989648779,57.0347092949172,Acetone;Propanal;Methyloxirane,,57.0344507707481,57.034882169481,252.190308985338,255.095881223948,9,1;4346;5386;6492;7417;8667;9874;11091;12291,,0.0,0.0232721609158368,0.0142677666156148,0.005672186285205,0.0328753411339592,-0.0226084095815909,-0.0100613928939748,4.13166088113657,1,0.169117647058824,4.44770615042875,3,0.513071895424837,4.37539915985322,3,0.383169934640523,0.0578383935334186,1.2377837781143,0.135632724016964,0.867635515886269,-0.316045269292175,0.115728491032846,0.936559709543352,0.31408813851289,0.502948464351792,-0.243738278716645,0.136517890806996,0.864810430164561,0.290193767890281,0.537311918569283,-0.0723069905755302
ID2,FT0002,38.6996517360409,57.9758890267634,,,57.9755699633076,57.9763928390306,38.0363557226458,39.6135739516036,11,2;1383;2909;4347;5387;6493;7418;8668;9875;11092;12292,,0.0,-0.0172390684057136,0.0379046234095726,0.0135121618891938,0.0554340894909752,0.0415084845590458,-0.0879753533516251,5.82610681677205,3,0.931372549019608,5.56808004757342,3,0.923202614379085,6.00742701403943,3,0.96078431372549,0.378343033631345,0.422114258216354,0.488879344208924,0.310798311857852,0.258026769198623,0.642921649483595,0.191841949735545,0.762168157582122,0.117949199456858,-0.181320197267386,0.164869299223755,0.782860208024617,0.329456288003634,0.482202199091647,0.439346966466009
ID3,FT0003,60.6468206182123,61.9893964824664,,,61.9891821119719,61.9903331699321,59.7462547546014,62.382027593747,11,3;1384;2910;4348;5388;6494;7419;8669;9876;11093;12293,,0.0,0.0062055804224649,-0.0015832212492755,-0.001699989238752,-0.0035954178033311,-0.0164667900399851,-0.0254765866544574,7.35438691375602,3,0.999183006535948,7.45071945072347,3,1.0,7.40568787201425,3,1.0,0.348019056132207,0.458396975172729,0.481914863115528,0.317029679074357,-0.0963325369674468,0.637858910921818,0.195275372978342,0.758399177552713,0.12010214664113,-0.051300958258226,0.5665325693151,0.246775117985511,0.723846714672289,0.140353392394264,-0.0450315787092208
ID4,FT0004,59.9464042253322,62.985664215213,,,62.985267089533,62.9859746700833,59.029960290845,60.956583907839,11,5;1385;2911;4349;5389;6495;7420;8670;9877;11094;12294,,0.0,0.0048062510668219,0.0042387007679175,-0.0057056655532931,0.0052282549010697,-0.0146925205092924,-0.018866365576827,4.83616728586545,3,0.637254901960784,4.91200159317583,3,0.738562091503268,4.92219685271509,3,0.70343137254902,0.343306495915696,0.464317978940544,0.479115678174689,0.319559617425412,-0.075834307310382,0.233772202054379,0.631207132233784,0.448040041790052,0.348683170931847,-0.08602956684964,0.823073253716611,0.0845615107547434,0.904557482142084,0.0435638297064387,0.010195259539258
ID5,FT0005,460.662143095418,62.9641907742128,Carbon monoxide,,62.9640501336979,62.9644474071037,459.126954732385,461.372831909719,11,4;1386;2912;4350;5390;6496;7421;8671;9878;11095;12295,,0.0,0.0006080729017871,-3.66063715217239e-06,-0.0041735231899789,0.0055455513149134,-0.0146127541415375,-3.61778186466338e-05,4.94972977476745,3,0.691176470588235,4.96581323766268,3,0.759803921568627,4.9550791408886,3,0.716503267973856,0.706332546319805,0.150990781910458,0.771769348976135,0.112512473542365,-0.0160834628952298,0.903247952901941,0.044193014032731,0.943878483655316,0.0250839138321283,-0.0053493661211465,0.768400064997415,0.114412607074246,0.865562621478749,0.0627015064380901,-0.0107340967740832
ID6,FT0006,331.918009396086,62.9642663912313,Carbon monoxide,,62.9639020407041,62.9645263244885,330.106836897494,333.508749868472,11,6;1387;2913;4351;5391;6497;7422;8672;9879;11096;12296,,0.0,-0.0045290934885258,0.0094113398046698,-8.52711257741116e-05,0.0068340595136438,-0.0045300864361946,-0.0047262603475861,4.56857956289081,3,0.475490196078431,4.50325197193239,3,0.54983660130719,4.59791435692714,3,0.52859477124183,0.180627790052145,0.74321543155395,0.295238086185776,0.529827618551604,0.0653275909584146,0.300385496437638,0.522321040273604,0.501888906911018,0.299392403283022,-0.0293347940363358,0.0435506021395085,1.36100583597071,0.153019911508817,0.815252053523829,0.0946623849947503
ID7,FT0007,60.0757544835547,63.9926897099574,,,63.9918996870938,63.9929440715684,59.029960290845,60.956583907839,11,7;1388;2914;4352;5392;6498;7423;8673;9880;11097;12297,,0.0,0.0035395278237012,0.0051305681584445,-0.0107603347416739,0.0027028404150443,-0.0159937721030579,-0.0077054283458212,5.09420681516335,3,0.738562091503268,5.15510139365134,3,0.821078431372549,5.18108518557326,3,0.791666666666667,0.469555334178298,0.328313221476106,0.577581868115023,0.238386448923862,-0.0608945784879902,0.230714589933439,0.636924940688134,0.444502750621363,0.352125547233737,-0.0868783704099032,0.672639746113953,0.172217473911114,0.808723859801368,0.0921997436988139,0.025983791921913
ID8,FT0008,45.7086229240218,68.9963794196305,,,68.9961755274796,68.9968155955872,45.1161182391165,46.6678045421065,11,8;1389;2915;4353;5393;6499;7424;8674;9881;11098;12298,,0.0,0.0041690917435965,-0.0102239297420263,0.0070204546667658,0.0337409921894748,-0.0023105046831358,-0.0133876894126222,6.64664807064385,3,0.986111111111111,6.71765475021708,3,0.988562091503268,6.58650015203204,3,0.986928104575163,0.284783396178294,0.545485335113666,0.416275122238746,0.380619542986091,-0.0710066795732276,0.520018385475198,0.283981301424292,0.661941211437344,0.179180579566472,0.0601479186118166,0.106169452646227,0.974000421630633,0.273912994266569,0.562387364590118,-0.131154598185044
ID9,FT0009,45.7086229240218,69.9989835211743,,,69.9987935527079,69.9993460285446,45.1161182391165,46.6678045421065,11,9;1390;2916;4354;5394;6500;7425;8675;9882;11099;12299,,0.0,0.0078801294503083,-0.0035914167328454,0.0030729500986097,0.0243469489189216,-0.0051538666601542,-0.0121766050344588,4.5664384542484,3,0.473856209150327,4.68200766243046,3,0.640522875816993,4.59209414094193,3,0.524509803921569,0.0698156301836152,1.15604733751172,0.154953597826023,0.809798335540551,-0.115569208182062,0.658328331859293,0.181557454181226,0.772848031959209,0.111905894658546,-0.0256556866935354,0.0941856702581097,1.02601516728383,0.25862276986168,0.587333241288769,-0.0899135214885263
ID10,FT0010,451.288409738602,71.0136200633217,Pyruvaldehyde;Malondialdehyde;Acrylic acid,,71.013262479314,71.014000078538,450.079112276787,452.109624249911,8,10;1391;2918;7426;8676;9883;11100;12300,,0.0,-0.0235049431529835,0.0283983250527423,0.008368719051804,0.0010112559400578,-0.0044259117406058,-0.0071682583399904,4.5003585188115,3,0.424019607843137,4.13848322369371,0,0.304738562091503,4.51619521610639,3,0.474673202614379,0.0001040920404732,3.98258247808492,0.0013760738976854,2.86135824306617,0.361875295117796,0.564088496210608,0.248652757007804,0.698175105965589,0.156035640389383,-0.0158366972948905,2.01608708830394e-06,5.69549071173399,0.000130709646225,3.88369236079192,0.377711992412687
