ID,IGF1.1,IGF1.2,IGF1.3,QC1,QC2,Rapamycin.1,Rapamycin.2,Rapamycin.3,VControl1,VControl2,VControl3
ID1,4.3686534522915546,,,4.399636943741744,4.468015657238768,4.475033277785553,4.494260088496167,4.43314248587029,4.418523377545419,4.391912285233609,4.313087868300541
ID2,5.859187270202972,5.3612819946843,6.223950054329199,5.490235989214115,5.637705625711934,5.575837510181742,5.982285628245817,6.009320399072905,6.443984167994428,5.565834968134183,6.022281460780728
ID3,,,,,7.439358585972702,,,,,,7.277869592452661
ID4,4.822729920834641,4.740360564517055,4.943317818326576,4.991103084371085,4.893619445159107,4.855865393669447,4.9578609003555245,4.967175926552883,4.925648733030572,4.95094439377981,4.893809195823543
ID5,4.98878444887608,4.885653444558355,4.977512506691476,5.002183268657147,4.978343634104252,4.922389216063948,4.985116475491116,4.998637456310561,4.909858323592991,4.987317879438887,4.975715389280022
ID6,4.605327763426022,4.523746415152479,4.575960279532518,4.442626293521068,4.553639109587703,4.51277993130577,4.630978921113012,4.582136498355823,4.594518993088827,4.593915989017503,4.606732422367296
ID7,5.079602342530039,5.0040188208284295,5.200083522521889,5.246803099894044,5.149465596414121,5.070714565729094,5.187559143257795,5.168875975794016,5.137338461687009,5.22304662395878,5.179744288757111
ID8,,6.536683147326039,6.659502942638694,6.698133683223859,6.706740732830559,6.715735553050861,,6.781209096519966,6.656521653455934,6.462218028305559,6.643567623019936
ID9,4.628281913712967,4.490101529675497,4.5808255593315295,4.721115122287223,4.642096410715869,4.69072636254417,4.746302827457782,4.693038655437388,4.634608076440112,4.522578503932316,4.619149369441032
ID10,4.548267110370644,4.4672120213634985,4.48855810959856,,,,4.459212592992071,4.435990160232739,4.515526130410354,4.534562443634426,4.503160127464782
ID11,4.507580112725463,4.490101529675497,4.625331435744165,4.330344713682242,4.43422489253987,4.44505679376665,4.351079198370937,4.341165539369083,,,
ID12,4.3875098399131005,,,,4.365898931545068,4.374957621984022,4.322653653535517,4.267012591257107,4.338968106589006,4.365348961137499,4.280428981806865
ID13,6.023436299107191,5.937610288615063,5.979287996027613,5.556770436904296,5.579627603469129,5.418881477073789,5.891183350098642,5.873758855565651,5.982486781694009,5.972014815784368,5.908185848260701
ID14,6.970549264759367,,,,,,,,6.880788129636279,,
ID15,6.1137536273768855,5.991729859668598,6.128763584127518,6.1110460367130095,,6.062078587712408,,6.111552144929039,6.060208697277553,5.972014815784368,6.093094089453742
ID16,5.402365468839219,5.311866150739364,5.372105060702736,5.5662617592249015,5.5140626882136985,5.31652735479992,5.468458758840286,5.47650513089474,5.451344053780895,5.4820393686909,5.496548815787865
ID17,6.1137536273768855,5.991729859668598,6.128763584127518,6.1110460367130095,6.125056880917645,6.062078587712408,,6.111552144929039,6.060208697277553,5.972014815784368,6.10188037073027
ID18,5.07390152775657,4.986725362066071,5.132551530748125,5.148224335575969,5.196281176322863,5.177331636449445,5.187559143257795,5.174836020590742,5.137338461687009,5.165732302227042,5.167800413233862
ID19,4.662592300964842,4.579140865095972,4.666321563589075,4.6738613413214,4.626638788812677,4.580207023430146,4.642669619841323,4.62422828916394,4.557341569204313,4.656584970665415,4.653485470716351
ID20,,4.234198789549589,3.924482953389053,,4.289517704496756,4.612021619946837,4.421022280986676,4.445129085818902,4.670053037286723,4.570016277574338,4.574703495111329
ID21,4.26376147764341,4.136918931805853,4.222983556707343,4.035941931285551,4.100774851856425,,4.274468172326129,4.21177254354043,4.131963319933852,4.253547677564837,4.111316783286592
ID22,5.179249989396796,5.084277597014801,5.105660175736605,5.205168018231153,5.235993777616697,5.223320376974373,5.258579189566302,5.20755281711849,5.24838392036136,5.128572150984649,5.211910842183403
ID23,,,,4.3353944253352665,,,,,,,
ID24,5.770465249402807,5.648732551132069,5.635581007312564,5.239526926290253,5.245736130140152,5.09398082690833,5.604689696408145,5.587487589933422,5.653809153466772,5.599784519575742,5.547171055242718
ID25,5.958210676698715,5.890308981249004,5.907655044314046,4.897575983122485,5.106034948375974,4.869054470272005,5.594346670787161,5.56113978010079,5.587776718829281,5.55307277083079,5.474743096315241
ID26,4.830533066802951,4.855562666981803,4.945042428783326,4.681746482337634,4.772095526558838,4.739329109482069,4.718905593657014,4.699668900613302,,,
ID27,4.628281913712967,4.598883949449706,4.544784223678562,,4.527373936896696,,4.630259436690356,4.582136498355823,4.613893090632139,,4.579107602758441
ID28,6.4811253786077385,6.450946304538158,6.514725666016567,6.517717750668535,,6.394992639291603,6.521501192429741,6.486276820802059,6.38119125802747,,
ID29,4.911011823316948,,,4.940138082465226,,4.964034293861726,5.052711982749436,5.006646728899581,,4.910462597344356,
ID30,4.447664980831862,4.327335685982481,4.287799154623698,4.460375251725733,4.527373936896696,4.483282462725596,4.533282247255596,4.514791906911988,4.48812012638203,4.430044409652455,4.420806213514246
ID31,4.3727391163544205,4.238862189523615,4.432979661440638,4.535707026809459,4.54150135315888,4.513629708090331,4.556999894515701,4.484924759881624,4.5708083270746656,4.085501533856686,4.434002285393024
ID32,,,,4.31448505115937,4.327005368391161,4.1476953010985245,4.505613687469404,4.504716828189723,,,4.418424055355415
ID33,,,,4.393632775821909,4.435500973121785,4.336162605539848,4.43347533135233,4.401825105493712,,,4.358411875172423
ID34,5.859187270202972,5.764959940490477,5.792170398414723,5.556770436904296,5.555919936193076,5.408200999589319,5.772909120500775,5.758591051617179,5.744551151850512,5.750660453625056,5.713818680792048
ID35,4.482633367565676,4.409466587636646,4.375690085358839,4.128029428204602,4.216724070793962,,4.394863723170007,,4.36110174498183,4.352460108829499,4.301433826987184
ID36,4.722924580492549,4.651265330515867,4.744861839547809,4.871935533858976,4.919932333956464,4.821681154433296,4.896153507710714,4.867571239929504,4.845904248768382,4.954011973232797,4.92258771623147
ID37,4.691094728696403,4.579140865095972,4.669914329245295,4.4928134806512485,4.526841413906515,4.458800873409125,4.660078503260654,4.644474299192627,4.562401522685775,4.621812099644162,4.603588322806478
ID38,,,,4.507721060034225,4.498285847610859,4.660852884239944,4.6231267102994105,4.632783619170665,5.176164079292467,,
ID39,,,,4.617085534480604,4.668486677779166,4.684359522550908,4.637757615869035,4.673969482246708,4.697397514854467,4.696383936445606,4.669536592757028
ID40,4.822729920834641,4.49779256684297,4.681294354558988,4.690669253516902,4.668486677779166,4.437861633821953,4.721534936912684,4.745232437707749,4.782681595279883,4.811359214609782,4.752549655800255
ID41,,,,6.449081756605975,6.399321829631244,6.332662889297069,6.415854447698335,,6.32789834105044,6.25347850543956,6.309745734354892
ID42,4.638008212107086,4.416324932785443,4.560423573925561,4.697023755827537,4.626638788812677,4.600427394809692,4.652854508200261,4.616790708272282,4.590766349286535,4.430044409652455,4.523688153879734
ID43,4.894239138293603,4.694944728088485,4.720489854865452,4.34802362201666,4.449424215873615,4.193944612019237,4.696358844659859,4.711004554219644,4.763580345403102,4.782783784720561,4.700075530160445
ID44,4.887645182025845,4.770036614275942,4.804076468346019,4.302062756871876,,,4.751653697973302,4.738385958147868,4.825915670130728,4.882589487006973,4.756411771735762
ID45,5.104360525706786,5.008068501478646,5.160717763433309,5.21242109636433,5.255485186651718,5.194173051984274,5.21698421359944,5.205395462467985,5.186586030901951,5.27041833821094,5.263228881354694
ID46,,,,4.387075709649644,4.53679463006079,4.6262451746511655,,4.582136498355823,4.599502462018493,,4.617067294717974
ID47,5.163125373341026,5.131626310242698,5.160717763433309,4.869761968300209,4.986205455604768,4.8582872667264265,5.092570149866591,5.078179977585748,5.004378436162956,5.019261948996471,4.962670705352121
ID48,4.823650790302529,4.760316953547585,4.826734168402863,4.577061716769511,4.581778335424959,4.41376306053828,4.81445107053688,4.773045047958952,4.856598046140367,4.885713509646623,4.861075261692188
ID49,5.80490611769123,5.69053239782204,5.714812670963164,5.3466589997321226,5.425674218534452,5.2608872959134665,5.634035661678809,5.615808724657162,5.64216867154733,5.616082661684461,5.597408848020198
ID50,4.358549455106579,4.411169889974871,4.53075058009718,,4.312561580009065,4.2852919845144655,,,,,
ID51,4.414260045670112,4.346086242669045,4.368804932426176,,,,4.300484103187916,4.285560894050747,4.284766489733914,4.253547677564837,4.229172336293951
ID52,4.943714851090672,,4.966548183438944,5.538688032153184,5.5850530506442855,5.381093248243998,,5.382393621928594,5.382413355225845,5.35495842752019,5.597408848020198
ID53,,,,5.340375433396878,,,,,,,
ID54,6.1137536273768855,5.991729859668598,,6.256547363364367,6.216955437596479,5.9989980389431725,,6.143425503298175,6.130234591691328,6.192965355282215,6.193066657567305
ID55,4.455493723019742,4.398022314578193,4.474542130782475,4.623225611689078,4.597178122801878,4.414144209012143,4.566906284805323,4.598156912559144,4.504031077957629,4.60630788612802,4.557061719611974
ID56,4.8987982435663096,4.900439124962431,4.956070216569117,5.025119057943309,5.088589838976121,5.0319286173605775,5.045484706981662,5.038137234199555,5.0489041722462975,5.0281170041652725,5.123593223781054
ID57,4.62594937616278,4.669758510159554,4.642035528222457,4.705239396080267,4.80415536898259,4.810368443404039,4.781116845111057,4.761446875090753,4.791109629465477,4.729670722830216,4.779812995312404
ID58,4.704099959145797,4.648049808252785,4.669914329245295,4.838867254251908,4.827347857906467,4.680587721571413,4.781116845111057,4.773045047958952,4.758810674262885,4.820461781791387,4.779812995312404
ID59,5.770465249402807,5.658694966462496,5.734113177045809,5.552630684936851,5.579627603469129,5.468014141191272,5.732208937974441,5.714327676188795,5.64216867154733,5.694021790512352,5.651882844206313
ID60,5.480061443927363,5.336760242548884,5.493533081583871,5.384324022635356,5.5850530506442855,5.515610581423127,5.465739348871678,5.523716284254014,5.382413355225845,5.458380023024208,5.298246498299058
ID61,5.918140936803527,5.803481174261088,5.860512660859642,5.595542352796737,5.6197038067170375,5.468014141191272,5.8308271394324205,5.827783073715754,5.8193184965347164,5.80855764401128,5.716444777268138
ID62,,,,5.111591994466118,5.153449496586152,5.145230684685096,5.052711982749436,5.03042465686468,5.12279133308723,5.036471615993621,5.123593223781054
ID63,5.895902625641423,5.764959940490477,5.824412389751273,5.931856564803103,5.942112667264908,5.9989980389431725,5.971465919624187,5.9921356322833645,5.9266310061905445,5.972014815784368,5.918694977567184
ID64,5.698505934443859,5.674729659380603,5.78040479495811,,,,,,,,
ID65,5.297360473828388,5.20187264102297,,,,,,,,,
ID66,5.8131183361943926,5.714808990797723,5.771486112687684,5.454020742311813,5.536791792005685,5.373367339266812,5.683411682951889,5.64462820880415,5.565686878448063,5.585414294525906,5.543838693325072
ID67,4.889478724098423,4.740360564517055,4.821779582300565,4.684770331719501,4.686196471521956,4.528246493519934,4.786970263213854,4.761446875090753,4.889659412510205,4.806953015534388,4.782168585756719
ID68,,,,4.776590419333656,4.741726425730542,4.810368443404039,4.773073926312364,4.825177194978023,4.746786150424674,4.820461781791387,4.760840656677653
ID69,4.804257084571557,4.461114148079526,4.73360402064269,4.861115450080915,5.070112528971411,4.840268479366539,4.786970263213854,4.984522238768061,4.773401862409533,5.0667627787789655,5.072342817102494
ID70,4.604871655467784,4.491298269086727,4.5808255593315295,,,,4.412900262918918,4.350973760875863,4.546139955179776,4.409024239822267,4.352803786893811
ID71,4.654370964090683,4.579140865095972,4.618324087160332,,4.42407038246119,,4.445292415606951,4.470119167144489,4.433514725672994,4.403092881455452,
ID72,5.1376966913873785,5.0040188208284295,5.105660175736605,4.87584242939819,4.858856710668981,4.695957947324729,5.022271794022054,5.005393521492504,5.044567093241974,5.1099528571949335,4.985478816221831
ID73,4.498363047050513,4.375136101727591,4.474542130782475,4.3353944253352665,4.352434851273642,,,4.435990160232739,,,
ID74,,4.63666624013967,4.679441692399927,,4.646743006091546,,,,,4.67866552527758,4.710030602197185
ID75,5.58834054486588,5.471653036435647,5.481127055140541,4.978232080381692,4.957507307071534,4.8582872667264265,5.453004436879322,5.468643313100763,5.539637597512001,5.599784519575742,5.479398553935119
ID76,,4.951215183435247,,4.861115450080915,4.84186279454207,4.739329109482069,4.918302371272778,4.761446875090753,4.746786150424674,,4.85443849102544
ID77,,,4.533320768947417,,,,4.605163288925168,,4.562401522685775,,
ID78,4.690191701167769,4.598883949449706,4.650946118717993,,,,,,4.867762536451456,4.74356968590358,4.693161351187788
ID79,4.883372475020905,4.939353924072815,4.999661028774004,5.114992618760072,4.990333917351901,5.014584840167112,5.052711982749436,5.0881598761333855,4.989821787425979,5.08627953752231,5.03929498982252
ID80,4.7473438836737785,4.66836531781201,4.67555059346339,4.946607380331916,4.827347857906467,4.922389216063948,4.910647233539664,4.8524431092296005,4.863216275842284,4.915838676530729,4.85443849102544
ID81,,4.461114148079526,,4.393632775821909,4.376839351338351,4.294147840648014,4.477316841191096,4.284108399779157,4.320994198535662,,4.411922698052984
ID82,4.804257084571557,4.669758510159554,4.7562155798756525,4.871935533858976,4.8962671752747084,4.894633964081088,4.897719885167655,4.864556918265036,4.909858323592991,4.772865926398703,4.83765537343561
ID83,4.722924580492549,4.541712227520979,4.645398295249283,4.844428279823286,4.874546504709365,4.725112435414697,4.860059763650434,4.837588514609186,4.909858323592991,4.937851017639432,4.846431696458264
ID84,7.109026450928542,7.040314705731761,7.11855737300759,7.190489608557946,7.145462814400519,7.136210906821779,7.1938235144169,,7.134744162814632,7.197712423272478,7.130066928603336
ID85,5.684305537240987,5.580050742027171,5.670059129307979,5.718049357188996,5.69558838348366,5.691331837008876,5.732208937974441,5.714327676188795,5.662976082909752,5.750660453625056,5.683063537459965
ID86,5.173791747241825,5.135293850231379,5.236175860958283,4.968862503093436,4.971054139022987,4.762538202340949,5.100742329471818,5.0881598761333855,5.092468498517388,5.161880953457288,5.167800413233862
ID87,4.883372475020905,4.812630880396738,4.88930545135163,4.965598421782308,4.900372764299172,4.942648654433256,4.959518953218596,4.955857433102899,4.881398099164175,4.971474831417163,4.930234577529174
ID88,5.163125373341026,5.064870466964241,5.107527131135645,5.194903834196477,5.208864645567356,5.223320376974373,5.239012135611602,5.261142561705901,5.196188477947347,5.218677601213317,5.164413018278502
ID89,4.104188980236744,,4.026511220674186,4.142739004754394,,4.166116826701808,4.080116395852638,4.189390448354062,4.094833338620159,4.253547677564837,4.136690768085607
ID90,4.833145763152599,4.66836531781201,4.966548183438944,5.384324022635356,5.162742485736207,,5.01402737180555,4.967175926552883,,5.205517894739588,5.088637325150302
ID91,6.659313367998673,6.522684400654759,6.596561219469738,6.387974546722753,6.420275275870091,6.31303686218962,6.611757667862511,6.60497258047085,,6.554146008218085,6.521826515992108
ID92,6.620019740924438,6.512921211111707,6.573598182465749,6.285634662930539,6.293606328805787,6.115458123659494,6.521501192429741,6.486276820802059,6.4866745172818,6.504399909147471,
ID93,4.830011468816378,4.66836531781201,4.98057591594687,5.3587687311917,5.149465596414121,5.313947318888751,5.022271794022054,4.955857433102899,4.961516321678261,5.205517894739588,4.845602151338681
ID94,4.498363047050513,4.406327048830223,4.420868529701758,4.188109833210101,4.159521084641071,4.067089899267636,4.400991844780432,4.365840980300888,4.424518801497305,4.413261362558661,4.313087868300541
ID95,4.559658159298664,4.549240687998373,4.526902966070398,,4.086226413994439,,4.355875828295512,4.300497200157201,4.176191766028354,4.21942453114136,4.196010136732375
