ID,IGF_1_1_1_Met_PB_06_12_20,IGF_1_2_1_Met_PB_06_12_20,IGF_1_3_1_Met_PB_06_12_20,QC1,QC2,Rapamycin_1_1_Met_PB_6_12_20,Rapamycin_2_1_Met_PB_6_12_20,Rapamycin_3_1_Met_PB_6_12_20,V__Control_1_1_Met_PB_6_12_20,V__Control_2_1_Met_PB_6_12_20,V__Control_3_1_Met_PB_6_12_20
FT0001,4.39179244931242,4.13626348859758,4.12236122436769,4.51361360606278,4.46395090670679,4.50208121761137,4.39764409330055,4.33205752598777,4.47573044860868,4.46581375823924,4.31224440372716
FT0002,5.89136639224077,5.36482883181422,6.25533677504096,6.00379562281313,6.04431939825648,6.30222762135899,5.39877178189986,6.25177636233492,6.5019443403638,5.63538861949878,6.01253921327115
FT0003,7.30708416572887,7.26720510531093,7.52208301900809,7.48440855064089,7.48965941668213,7.43320430937479,7.14087512106649,7.61405314663172,7.50721849547527,7.5531054318497,7.28433081973319
FT0004,4.63018086071382,4.52543434082138,4.58333503591704,4.6482653947008,4.61774911156953,4.72895566841823,4.61477742275825,4.17378804180139,4.65037990462423,4.66709678476036,4.60385751241227
FT0005,5.01117271786668,4.88744532919143,4.98378282602407,5.00087257247885,5.0290058246001,5.00571608347246,4.95627178476243,4.08675576042103,4.96103140730566,5.05737797495839,4.97441917141717
FT0006,4.84769345208624,4.74428684568258,4.94973310860734,4.97374254359521,4.99646786265604,4.94025167929225,4.72717218923117,5.12171277154764,4.98087583490474,5.02511340043669,4.88819245381926
FT0007,5.10363384325707,5.00803052464837,5.20416762636444,5.20723104874638,5.19981410712232,5.15911188724351,4.982780620908,5.36750533402651,5.19537798815576,5.29816437759981,5.17730432197963
FT0008,6.77265656280263,6.55128713639244,6.64921206151631,6.78312813391102,6.80355635684072,6.85267959308685,6.56100328155843,7.3549771886796,6.7220388522132,6.53560050243131,6.62945223246702
FT0009,4.65588705376711,4.53207291787577,4.58433597817205,4.79813424006956,4.72519765762642,4.75480177087778,4.55404804872973,5.37248983019185,4.73411825854733,4.63883789947546,4.63393552869227
FT0010,4.57094293485133,4.4706682405774,4.4926759297856,4.47717844714754,4.47023274585437,4.4338890032881,4.4049140980198,3.38140409485336,4.56797079428814,4.60761951092984,4.50058647411663
FT0011,4.53695914487451,4.49289152755003,4.63012317798664,4.36971788723191,4.37167379869389,4.02001726833494,3.9595966036997,4.15383755461585,4.00771004634028,4.13383408927444,3.97446123495077
FT0012,4.41400813858275,4.0101539826305,4.20773906564194,4.33978265469281,4.29696071383211,4.3995524653422,4.20101265337003,4.24693499535436,4.39419126139923,4.43895448997499,4.27922105246118
FT0013,4.34996512954228,4.20073868995803,4.38764044324322,4.34992297372531,4.31487943053186,4.52677492953936,4.4490287224829,4.47490165100527,4.43793148860874,4.33786023727475,4.48721577947275
FT0014,6.05547632838992,5.92686812031816,5.98695952483168,5.91698348196604,5.90583448177179,5.80151054076949,5.80031087111558,5.92503973477885,6.01864435760453,6.04107408366079,5.90137983910405
FT0015,6.14092972131103,6.00016904722568,6.13399182280766,6.164138127688,6.15085124096771,6.19437869531679,5.9411079490732,6.23837847111119,6.09922281616507,6.0401466064074,6.09454406959549
FT0016,7.01662303903219,6.93251090581878,6.99639257464803,7.00585025936958,7.03098799215876,7.04135176623354,7.04391404753401,6.20083071789327,6.93989300391653,7.06201659968789,7.00159574703911
FT0017,5.42616063934097,5.31525600945171,5.3727629238773,5.48638538438981,5.52327325957782,5.55084202809901,5.49174798640727,5.6938102848025,5.50556137278901,5.55783912924608,5.49235520212765
FT0018,6.1316766477972,6.00314743239445,6.12292270976386,6.16636878203004,6.15689243913208,6.1960235261471,5.94977879289856,6.22870009939595,6.09249558951895,6.05354885336573,6.1054848093155
FT0019,5.09342493885629,4.98969749864415,5.13887569545595,5.20693440626094,5.20787888550616,5.27902452021223,5.1825589129187,5.62185139572175,5.19299273922919,5.23910153639646,5.16508233739495
FT0020,4.11390032264028,4.28521632820576,4.16914660002574,4.33738029849487,4.22088171423076,4.22884520903821,3.98650877674514,,4.54915880568721,4.11181226027084,3.99208287225627
FT0021,4.68791465755888,4.58588267488691,4.67091592706274,4.66125061392759,4.65136317387835,4.71280794214671,4.63593085730859,3.7517343690245,4.61353522510863,4.72970236240027,4.65060643406395
FT0022,3.63404258092995,4.2374811416637,3.8904661403271,4.43904264124231,4.47751001860756,4.86518642003123,3.6260623762253,4.77397280916317,4.7270454794827,4.64366512700805,4.57163930440442
FT0023,4.28843120716141,4.10489401060936,4.22675064286801,4.29137596868243,4.24292176855002,4.35665412867534,4.35155471033587,4.16439589810742,4.23623837098939,4.32872505335879,4.15017966583959
FT0024,5.20367860637578,5.08488822588571,5.11107008843148,5.2676166563511,5.25206578680427,5.32927816431963,5.18904933735109,5.42972683278913,5.30076646219648,5.20275872661024,5.20658324125415
FT0025,4.31294499856468,4.1205504092587,4.3311444873172,4.34139172007078,4.28636348673057,4.40438585235503,4.1282480505482,4.44328684760431,4.25344471825531,4.13426220577245,4.09479688221511
FT0026,5.79588244365371,5.64548069545474,5.65197307138403,5.62447552607982,5.62260959310823,5.54791394727201,5.56332556215895,5.78605843422207,5.70948471304951,5.68025829528961,5.54721625396837
FT0027,5.98357122519584,5.89347031729908,5.90985032121313,5.61183371668004,5.59467821940019,5.37782608918386,5.23097305894356,3.45290596228363,5.648396233136,5.62632219907634,5.46675111000792
