
ID,General|All|ID,General|All|rtmed,General|All|mzmed,General|All|annot_ms1,General|All|annot_ms2,General|Extended|mzmin,General|Extended|mzmax,General|Extended|rtmin,General|Extended|rtmax,General|Extended|npeaks,General|Extended|peakidx,General|Extended|ms2spectrum,General|Extended|purity,PCA|All|PC1 (41.6%),PCA|All|PC2 (18.2%),PCA|All|PC3 (9.3%),PCA|All|PC4 (7%),PCA|All|PC5 (6.1%),PCA|All|PC6 (4.5%),Stats|Mean|IGF,Stats|N value|IGF,Stats|Quantile|IGF,Stats|Mean|Rapamycin,Stats|N value|Rapamycin,Stats|Quantile|Rapamycin,Stats|Mean|Control,Stats|N value|Control,Stats|Quantile|Control,ttest|IGF_vs_Rapamycin|pvalue,ttest|IGF_vs_Rapamycin|log.pvalue,ttest|IGF_vs_Rapamycin|fdr,ttest|IGF_vs_Rapamycin|log.fdr,ttest|IGF_vs_Rapamycin|mean.diff,ttest|IGF_vs_Control|pvalue,ttest|IGF_vs_Control|log.pvalue,ttest|IGF_vs_Control|fdr,ttest|IGF_vs_Control|log.fdr,ttest|IGF_vs_Control|mean.diff,ttest|Control_vs_Rapamycin|pvalue,ttest|Control_vs_Rapamycin|log.pvalue,ttest|Control_vs_Rapamycin|fdr,ttest|Control_vs_Rapamycin|log.fdr,ttest|Control_vs_Rapamycin|mean.diff
ID873,FT0873,47.9461940550958,691.453786199567,"PA(P-16:0e/18:2(9Z,12Z))",,691.45048498772,691.458573655292,47.5762023415852,49.9173935381323,7,881;2287;3801;8224;9450;10691;13133,,0,-0.0352815195621131,0.032647871281606,-0.00932758413236389,0.0373918401227975,0.0968783005994177,-0.0292250698042887,4.71527445782832,3,0.566993464052288,4.22595534096844,0,0.368872549019608,4.77756536120517,2,0.628267973856209,0.00483764268442731,2.31536621243389,0.0216345135664165,1.66485286509646,0.489319116859882,0.840327133520925,0.0755516131934551,0.906352836868997,0.0427027015785237,-0.0622909033768506,0.116838553228961,0.932413829382236,0.273912994266569,0.562387364590118,0.551610020236732
ID874,FT0874,87.6474121399151,691.453495040158,"PA(P-16:0e/18:2(9Z,12Z))",,691.45105021219,691.455960022815,85.6655152837785,88.4876447639457,5,882;2286;3800;6086;9451,152.9957;225.1849;226.1881;227.1996;253.2178;254.2224;255.2323;281.2481;691.4536|397;1986;180;6840;7646;559;1962;144;12566,1,-0.0600625597773044,-0.0610749348533016,0.00991525789833985,-0.041339052483814,0.00478590628788556,-0.0224515654654969,4.98399088278608,3,0.701797385620915,4.20850378349232,1,0.343137254901961,4.10816045160432,0,0.193627450980392,0.0138111690343694,1.85976955938748,0.0476069809408204,1.32232935900681,0.775487099293769,0.00489365144655726,2.3103669667839,0.0486861322709866,1.3125947253532,0.875830431181763,0.373900966300058,0.427243412464821,0.561573265987348,0.250593575220363,-0.100343331887994
ID875,FT0875,411.360250785692,692.082321970266,,,692.077133756749,692.085466102245,410.106888696754,412.717135131198,7,883;2288;3802;8225;9452;11876;13134,,0,-0.0341179696149359,0.00314535940190025,0.00618511410539262,-0.013133193128963,-0.0333879232282934,0.0117753297818114,4.31002089344243,3,0.282679738562091,3.81746705206686,0,0.117647058823529,4.04375024736873,2,0.14297385620915,8.35283353658591E-06,5.07816617355195,0.000279123854014246,3.55420304697939,0.492553841375571,0.0840568912575496,1.07542667588968,0.274530465525395,0.561409453489311,0.266270646073703,0.120829427097521,0.917827283680899,0.274334516386783,0.561719546630805,0.226283195301868
ID876,FT0876,411.32313262277,693.119884407004,"NCGC00179919-03!3-hydroxy-3-methyl-5-oxo-5-[[3,4,5-trihydrox",,693.11078230434,693.122554035857,409.638814024915,412.031252283315,8,884;2291;3804;6087;8226;9454;10693;11877,,0,-0.0161107384513587,0.0136924055638831,0.00805621464024838,-0.0109165915408175,-0.0315326109524711,-0.0283802841581467,4.30449188614556,3,0.280228758169935,4.08660514451965,1,0.273692810457516,4.26394483980553,2,0.30718954248366,0.151061163058037,0.820847175883104,0.259980799941086,0.58505872428894,0.217886741625914,0.805289514962171,0.0940479554757041,0.879847886232209,0.0555924049865029,0.0405470463400306,0.409621322987232,0.387617444086278,0.598282958605882,0.223093367354899,0.177339695285884
ID877,FT0877,42.4258540372862,695.312384581848,"Capsianoside I;Lepranthin;(2E,6E,10E)-14-[(2S,3R,4S,5S,6R)-4",,695.30837877933,695.315003179762,41.52467800146,43.0546747345629,11,885;2293;3806;5014;6088;7083;8228;9456;10696;11879;13138,59.01426;78.95868;205.1607;285.125;311.1688;325.1853;397.18;427.1874;447.1358;473.2806;653.3015;693.1678;695.3131;696.3234|50844;606;1538;703;408;252;252;1324;875;324;6430;1148;430524;461,1,0.00585331626195596,0.0278753103494549,-0.0464154202326651,-0.0182007301539439,-0.0212460785151007,0.026473297951347,5.08781929728649,3,0.736928104575163,5.20204492424301,3,0.833333333333333,5.40714510666305,3,0.862745098039216,0.403548614634045,0.394104139267731,0.515359854994433,0.287889414720764,-0.114225626956517,0.198028385701214,0.703272552820186,0.404688515658648,0.392879119939657,-0.319325809376559,0.321785707213251,0.492433249908428,0.538415049019715,0.268882809826277,0.205100182420042
ID878,FT0878,245.096578842996,696.49577751225,"PE(18:3(6Z,9Z,12Z)/P-16:0);PE(18:3(9Z,12Z,15Z)/P-16:0);PE(P-",,696.493863216871,696.497629550916,241.590046210978,248.991803935192,11,887;2295;3807;5016;6090;7085;8229;9458;10698;11882;13140,251.2017;253.2161;277.216;279.2325;281.2474;305.2493;418.2709;436.2819;460.2833;462.2984;696.497|4239;8080;25405;2652;684;1976;973;3082;588;360;30888,1,-0.0214884318277122,-0.0107488786884749,-0.0176206867473442,-0.00638314020210481,0.0254699089449089,-0.0134848387577882,5.02847231240935,3,0.718954248366013,4.77655593888038,3,0.681372549019608,4.85231629518996,3,0.669117647058823,0.108237002952859,0.965624241715825,0.21469019882781,0.668187781796445,0.251916373528974,0.238549238127625,0.622421966141303,0.451338139736641,0.345497965444422,0.176156017219391,0.463559633832348,0.333894388858408,0.644016777002798,0.19110281887492,0.0757603563095826
ID879,FT0879,42.2285201974285,696.315498167472,,,696.310191638766,696.497180853123,41.2060098941961,51.9518698063856,11,886;2294;3808;5015;6089;7084;8230;9457;10697;11881;13139,251.2011;253.2177;277.2187;279.2352;281.2469;281.2553;436.2845;696.4986|334;636;1045;227;36;36;144;1456,1,-0.00113356200045014,0.0197159097928235,-0.0430624104427028,-0.021952123573443,-0.0151668896895314,0.0126688300188004,4.78563784675224,3,0.605392156862745,4.80768865460274,3,0.695261437908497,5.00359633460264,3,0.730392156862745,0.801264367866855,0.0962241698545973,0.84480371125664,0.0732441869329672,-0.0220508078504906,0.212252712746742,0.673146750443671,0.423803763633163,0.372835190811027,-0.2179584878504,0.246417623840533,0.608328234563695,0.441734818774043,0.354838367086517,0.195907679999909
ID880,FT0880,245.633782300487,697.498234292672,PA(16:0e/18:0),,697.49723821063,697.50028949294,241.590046210978,247.672774659729,10,888;2297;3809;5017;6091;8232;9459;10699;11883;13142,,0,-0.030466582052663,-0.00262860798659563,-0.0349454203068548,0.00509059144117229,0.0109299817039492,-0.0141057926931216,4.66944545257467,3,0.535130718954248,4.32418288255524,2,0.433823529411765,4.52026829091325,3,0.477124183006536,0.116139500088038,0.935020047679944,0.218646672641802,0.660257127348624,0.345262570019433,0.300962172104094,0.521488087392387,0.501997013671446,0.299298866420458,0.149177161661415,0.255550591026407,0.592523110289998,0.452545583805489,0.344337668838638,0.196085408358018
ID881,FT0881,50.5419728142726,697.495116336866,PA(16:0e/18:0),,697.316113906642,697.49873700187,41.2060098941961,51.2610938826761,9,889;2296;5018;6092;7086;8231;9460;10700;13141,,0,0.00658265811325063,0.00386598145445298,-0.0221312701590568,0.0717911873731206,0.0228869450901299,-0.0125405455336835,4.1775810109559,2,0.200980392156863,4.32603913511092,3,0.434640522875817,4.30035565225176,2,0.329248366013072,0.307554681691013,0.512077657627073,0.438374741794181,0.358154476912883,-0.148458124155018,0.621295595914193,0.20670172489476,0.748280239146904,0.125935723630065,-0.122774641295861,0.904170811528662,0.0437495169839242,0.948424106100599,0.0229974160883855,-0.025683482859157
ID882,FT0882,51.9692200047967,698.511595305774,"PE(16:1(9Z)/P-18:1(11Z));PE(16:1(9Z)/P-18:1(9Z));PE(18:2(9Z,",,698.510507483308,698.51371698344,51.6298414740159,52.6185562236064,11,891;2299;3811;5020;6094;7088;8234;9462;10702;11884;13144,78.95802;140.011;196.0374;251.2013;252.4421;253.2175;254.2207;255.2321;265.2524;277.2165;278.2225;279.2323;281.2479;307.2627;401.2479;416.2555;418.2724;434.2659;436.2814;444.287;462.2971;536.5072;696.3577;698.5137|1520;4420;5884;1009;1279;443915;615;921;3089;1349;1080;53164;43549;720;841;1143;1738;2957;4855;16106;34162;1716;1005;391371,1,-0.0159127540752974,0.00435148303551097,-0.0141627011404105,-0.00541182675696934,-0.00112104672247764,-0.0126761362572518,5.64146450938439,3,0.895424836601307,5.44892709387146,3,0.897058823529412,5.59073582380991,3,0.906862745098039,0.167405535595857,0.776230185297438,0.280485876492781,0.552089002199894,0.192537415512935,0.66795108449101,0.175255340688343,0.781108335009816,0.10728872792285,0.0507286855744766,0.132766619850547,0.876911101451077,0.285864659346105,0.543839531944094,0.141808729938458
